"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","Female","155","140","23250","22870"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","Male","65","60","23280","22870"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Female","180","160","28620","28850"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Male","65","60","29180","28850"
"In post","2023","Declared disabled","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","Female","330","300","59990","57590"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","Male","185","180","60500","56450"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","Female","130","125","37120","38070"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","Male","65","60","36700","35550"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","AA/AO","Female","45","40","22320","21720"
"In post","2023","Declared disabled","Cabinet Office","AA/AO","Male","35","35","22780","21780"
"In post","2023","Declared disabled","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","EO","Female","90","80","27200","27270"
"In post","2023","Declared disabled","Cabinet Office","EO","Male","45","40","27470","28370"
"In post","2023","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","Female","215","210","60530","56430"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","Male","220","215","62460","59620"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Female","30","30","92720","80680"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Male","45","45","98010","82020"
"In post","2023","Declared disabled","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office","SEO/HEO","Female","430","420","34300","32960"
"In post","2023","Declared disabled","Cabinet Office","SEO/HEO","Male","245","245","34730","34100"
"In post","2023","Declared disabled","Cabinet Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","G6/G7","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
