"Status","Year","Disability","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Heterosexual / straight","3050","2815","33890","30620"
"In post","2023","Declared disabled","Asian","LGBO","130","125","36650","32960"
"In post","2023","Declared disabled","Asian","Undeclared","220","195","31330","28120"
"In post","2023","Declared disabled","Asian","Unknown","225","195","31170","28550"
"In post","2023","Declared disabled","Black","Heterosexual / straight","1900","1790","34260","32520"
"In post","2023","Declared disabled","Black","LGBO","95","95","37330","32520"
"In post","2023","Declared disabled","Black","Undeclared","145","135","33440","31980"
"In post","2023","Declared disabled","Black","Unknown","95","90","33620","32520"
"In post","2023","Declared disabled","Mixed","Heterosexual / straight","1105","1035","35590","32110"
"In post","2023","Declared disabled","Mixed","LGBO","265","255","35810","31310"
"In post","2023","Declared disabled","Mixed","Undeclared","165","150","33450","30120"
"In post","2023","Declared disabled","Mixed","Unknown","85","75","33880","30130"
"In post","2023","Declared disabled","Other ethnicity","Heterosexual / straight","265","250","36740","33050"
"In post","2023","Declared disabled","Other ethnicity","LGBO","70","70","39440","35000"
"In post","2023","Declared disabled","Other ethnicity","Undeclared","50","45","37160","33300"
"In post","2023","Declared disabled","Other ethnicity","Unknown","30","25","[c]","[c]"
"In post","2023","Declared disabled","Undeclared","Heterosexual / straight","430","395","33110","29160"
"In post","2023","Declared disabled","Undeclared","LGBO","95","85","33410","29080"
"In post","2023","Declared disabled","Undeclared","Undeclared","1435","1320","33950","29750"
"In post","2023","Declared disabled","Undeclared","Unknown","360","330","37390","34170"
"In post","2023","Declared disabled","Unknown","Heterosexual / straight","300","275","34290","30130"
"In post","2023","Declared disabled","Unknown","LGBO","40","35","37200","34110"
"In post","2023","Declared disabled","Unknown","Undeclared","105","95","37510","35000"
"In post","2023","Declared disabled","Unknown","Unknown","980","900","34430","31090"
"In post","2023","Declared disabled","White","Heterosexual / straight","38320","35050","33890","28950"
"In post","2023","Declared disabled","White","LGBO","5030","4840","34500","30810"
"In post","2023","Declared disabled","White","Undeclared","3755","3380","32850","28120"
"In post","2023","Declared disabled","White","Unknown","2060","1820","32190","28120"
"In post","2023","Declared non-disabled","Asian","Heterosexual / straight","23095","21790","35050","31280"
"In post","2023","Declared non-disabled","Asian","LGBO","490","460","35960","31970"
"In post","2023","Declared non-disabled","Asian","Undeclared","1305","1190","32770","29660"
"In post","2023","Declared non-disabled","Asian","Unknown","1720","1500","32760","28120"
"In post","2023","Declared non-disabled","Black","Heterosexual / straight","11425","11035","34960","32520"
"In post","2023","Declared non-disabled","Black","LGBO","215","210","35030","32340"
"In post","2023","Declared non-disabled","Black","Undeclared","480","450","34130","31450"
"In post","2023","Declared non-disabled","Black","Unknown","710","650","33610","32520"
"In post","2023","Declared non-disabled","Mixed","Heterosexual / straight","5460","5210","37540","33330"
"In post","2023","Declared non-disabled","Mixed","LGBO","520","510","37190","32540"
"In post","2023","Declared non-disabled","Mixed","Undeclared","370","345","37750","32520"
"In post","2023","Declared non-disabled","Mixed","Unknown","255","235","38490","32510"
"In post","2023","Declared non-disabled","Other ethnicity","Heterosexual / straight","1495","1430","37820","33700"
"In post","2023","Declared non-disabled","Other ethnicity","LGBO","110","110","40310","33760"
"In post","2023","Declared non-disabled","Other ethnicity","Undeclared","155","145","42020","36000"
"In post","2023","Declared non-disabled","Other ethnicity","Unknown","100","90","35300","31280"
"In post","2023","Declared non-disabled","Undeclared","Heterosexual / straight","1960","1850","35090","31270"
"In post","2023","Declared non-disabled","Undeclared","LGBO","120","110","36740","32920"
"In post","2023","Declared non-disabled","Undeclared","Undeclared","4195","3915","37120","32520"
"In post","2023","Declared non-disabled","Undeclared","Unknown","1550","1335","32420","28120"
"In post","2023","Declared non-disabled","Unknown","Heterosexual / straight","1910","1770","36440","32420"
"In post","2023","Declared non-disabled","Unknown","LGBO","80","75","39270","34170"
"In post","2023","Declared non-disabled","Unknown","Undeclared","550","505","38610","36630"
"In post","2023","Declared non-disabled","Unknown","Unknown","4550","4125","34010","28200"
"In post","2023","Declared non-disabled","White","Heterosexual / straight","218560","205085","37200","32510"
"In post","2023","Declared non-disabled","White","LGBO","13235","12910","37310","32560"
"In post","2023","Declared non-disabled","White","Undeclared","14540","13300","35570","30910"
"In post","2023","Declared non-disabled","White","Unknown","15050","13185","34440","28130"
"In post","2023","Undeclared","Asian","Heterosexual / straight","1145","1080","36670","32520"
"In post","2023","Undeclared","Asian","LGBO","40","40","34550","29820"
"In post","2023","Undeclared","Asian","Undeclared","210","195","36670","32520"
"In post","2023","Undeclared","Asian","Unknown","155","135","42310","32920"
"In post","2023","Undeclared","Black","Heterosexual / straight","550","520","36240","32520"
"In post","2023","Undeclared","Black","LGBO","20","20","[c]","[c]"
