"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","AA/AO","415","390","24180","24480"
"In post","2023","Attorney General's Departments","London","EO","805","770","29240","28410"
"In post","2023","Attorney General's Departments","London","G6/G7","2595","2420","61980","63120"
"In post","2023","Attorney General's Departments","London","SCS level","265","255","88840","82560"
"In post","2023","Attorney General's Departments","London","SEO/HEO","745","730","38300","38860"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","1235","1140","22890","22870"
"In post","2023","Attorney General's Departments","Outside London","EO","1190","1110","28110","28200"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","2525","2335","57180","56450"
"In post","2023","Attorney General's Departments","Outside London","SCS level","65","65","91550","86410"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","885","850","36260","35550"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","100","100","25330","25280"
"In post","2023","Cabinet Office","London","EO","355","345","28810","28370"
"In post","2023","Cabinet Office","London","G6/G7","2280","2240","62040","59050"
"In post","2023","Cabinet Office","London","SCS level","525","515","103100","95070"
"In post","2023","Cabinet Office","London","SEO/HEO","2320","2300","34910","34020"
"In post","2023","Cabinet Office","Outside London","AA/AO","340","310","21740","21720"
"In post","2023","Cabinet Office","Outside London","EO","465","440","25820","26030"
"In post","2023","Cabinet Office","Outside London","G6/G7","1520","1490","60990","56730"
"In post","2023","Cabinet Office","Outside London","SCS level","190","185","104260","98340"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","1945","1905","34810","33190"
"In post","2023","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","EO","50","50","25130","24610"
"In post","2023","Cabinet Office","Unknown","G6/G7","50","50","58430","56430"
"In post","2023","Cabinet Office","Unknown","SCS level","10","10","105150","86840"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","65","60","35370","35240"
"In post","2023","Chancellor's other departments","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","London","EO","40","40","30500","30090"
"In post","2023","Chancellor's other departments","London","G6/G7","180","170","78620","74000"
"In post","2023","Chancellor's other departments","London","SCS level","15","15","117210","112710"
"In post","2023","Chancellor's other departments","London","SEO/HEO","110","110","42690","43270"
"In post","2023","Chancellor's other departments","Outside London","EO","10","10","25690","25420"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","35","35","63390","62560"
"In post","2023","Chancellor's other departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SEO/HEO","30","30","42250","42400"
"In post","2023","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","G6/G7","30","30","57390","53180"
"In post","2023","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","SEO/HEO","40","40","34620","32150"
"In post","2023","Charity Commission","Outside London","AA/AO","20","20","21510","21100"
"In post","2023","Charity Commission","Outside London","EO","115","110","25710","25300"
"In post","2023","Charity Commission","Outside London","G6/G7","45","45","56010","52240"
