"Status","Year","Organisation","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","Female","75","65","32730","31940"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","Male","45","45","36120","31940"
"In post","2023","Active Travel England","Department for Transport","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Other","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Project Delivery","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","Female","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Science and Engineering","Male","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","Female","10","10","[c]","[c]"
