"Status","Year","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","London","Female","840","820","54430","49450"
"In post","2023","Commercial","London","Male","870","860","62610","56200"
"In post","2023","Commercial","Outside London","Female","3235","3075","42280","38470"
"In post","2023","Commercial","Outside London","Male","2595","2550","46000","41000"
"In post","2023","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Communications","London","Female","1200","1160","48800","45170"
"In post","2023","Communications","London","Male","800","795","49580","44790"
"In post","2023","Communications","Outside London","Female","1285","1200","38710","37540"
"In post","2023","Communications","Outside London","Male","825","810","39050","36920"
"In post","2023","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","London","Female","25","25","[c]","[c]"
"In post","2023","Corporate Finance","London","Male","45","45","63040","58070"
"In post","2023","Corporate Finance","Outside London","Female","25","20","[c]","[c]"
"In post","2023","Corporate Finance","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","London","Female","1010","925","35160","32520"
"In post","2023","Counter Fraud","London","Male","965","935","39250","36190"
"In post","2023","Counter Fraud","Outside London","Female","4375","3905","29610","28120"
"In post","2023","Counter Fraud","Outside London","Male","3240","3075","31240","28120"
"In post","2023","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","London","Female","1980","1925","50810","46790"
"In post","2023","Digital, Data and Technology","London","Male","3320","3285","52060","49240"
"In post","2023","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Outside London","Female","6135","5835","41270","38470"
"In post","2023","Digital, Data and Technology","Outside London","Male","11645","11455","42970","39500"
"In post","2023","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","Overseas","Male","35","35","44760","43480"
"In post","2023","Digital, Data and Technology","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","Unknown","Male","25","25","[c]","[c]"
"In post","2023","Economics","London","Female","595","570","51130","54090"
"In post","2023","Economics","London","Male","1015","1010","51960","54540"
"In post","2023","Economics","Outside London","Female","215","205","41330","37690"
"In post","2023","Economics","Outside London","Male","335","330","42730","36590"
"In post","2023","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Finance","London","Female","1285","1230","49650","44770"
"In post","2023","Finance","London","Male","1350","1340","52570","48410"
"In post","2023","Finance","Outside London","Female","4275","3990","38650","34700"
"In post","2023","Finance","Outside London","Male","3255","3180","41780","38470"
"In post","2023","Finance","Overseas","Female","30","30","49330","48980"
"In post","2023","Finance","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Geography","Outside London","Female","165","150","32680","34370"
"In post","2023","Geography","Outside London","Male","310","300","33160","34370"
"In post","2023","Geography","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","London","Female","2030","1950","48310","43650"
"In post","2023","Human Resources","London","Male","920","905","49450","43790"
"In post","2023","Human Resources","Outside London","Female","6040","5675","37040","34170"
"In post","2023","Human Resources","Outside London","Male","3745","3670","36550","33990"
"In post","2023","Human Resources","Overseas","Female","165","165","54840","55970"
"In post","2023","Human Resources","Overseas","Male","75","75","60960","60090"
"In post","2023","Human Resources","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Human Resources","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Inspector of Education and Training","London","Female","80","80","65790","66170"
"In post","2023","Inspector of Education and Training","London","Male","25","25","[c]","[c]"
"In post","2023","Inspector of Education and Training","Outside London","Female","710","695","63710","52750"
"In post","2023","Inspector of Education and Training","Outside London","Male","270","265","73460","77470"
"In post","2023","Intelligence Analysis","London","Female","500","470","38460","35960"
"In post","2023","Intelligence Analysis","London","Male","740","720","42340","38680"
"In post","2023","Intelligence Analysis","Outside London","Female","960","900","30360","28480"
"In post","2023","Intelligence Analysis","Outside London","Male","1005","985","32150","30140"
"In post","2023","Intelligence Analysis","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Intelligence Analysis","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","London","Female","85","80","52220","50220"
"In post","2023","Internal Audit","London","Male","115","110","54790","53070"
"In post","2023","Internal Audit","Outside London","Female","310","290","44480","42700"
"In post","2023","Internal Audit","Outside London","Male","230","225","47510","44760"
"In post","2023","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","Female","10","5","[c]","[c]"
"In post","2023","Internal Audit","Unknown","Male","15","15","[c]","[c]"
"In post","2023","International Trade","London","Female","675","665","49670","46080"
"In post","2023","International Trade","London","Male","715","710","51140","52000"
"In post","2023","International Trade","Outside London","Female","295","275","41750","39690"
"In post","2023","International Trade","Outside London","Male","295","290","43230","42140"
"In post","2023","International Trade","Overseas","Female","50","50","55940","54040"
"In post","2023","International Trade","Overseas","Male","125","125","58130","56190"
"In post","2023","Knowledge and Information Management","London","Female","440","415","40630","36910"
"In post","2023","Knowledge and Information Management","London","Male","390","385","43520","39100"
"In post","2023","Knowledge and Information Management","Outside London","Female","945","885","32340","29450"
"In post","2023","Knowledge and Information Management","Outside London","Male","710","685","34770","32660"
"In post","2023","Knowledge and Information Management","Overseas","Female","5","5","[c]","[c]"
"In post","2023","Knowledge and Information Management","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Legal","London","Female","2885","2665","57940","56950"
"In post","2023","Legal","London","Male","1755","1715","58360","57220"
"In post","2023","Legal","Outside London","Female","4205","3815","49200","51270"
"In post","2023","Legal","Outside London","Male","2695","2605","48740","49050"
"In post","2023","Legal","Overseas","Female","5","5","[c]","[c]"
"In post","2023","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","London","Female","245","225","69490","55240"
"In post","2023","Medicine","London","Male","90","80","87510","86700"
"In post","2023","Medicine","Outside London","Female","1485","1295","50570","40590"
"In post","2023","Medicine","Outside London","Male","595","545","65850","58540"
"In post","2023","Medicine","Overseas","Female","25","25","[c]","[c]"
"In post","2023","Medicine","Overseas","Male","10","10","[c]","[c]"
"In post","2023","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Operational Delivery","London","Female","20245","18720","34830","32520"
"In post","2023","Operational Delivery","London","Male","14260","13845","37120","32520"
"In post","2023","Operational Delivery","Outside London","Female","139360","123525","28300","27140"
"In post","2023","Operational Delivery","Outside London","Male","97645","93275","30200","28120"
"In post","2023","Operational Delivery","Overseas","Female","105","105","43740","40930"
"In post","2023","Operational Delivery","Overseas","Male","185","180","48060","47380"
"In post","2023","Operational Delivery","Unknown","Female","305","285","29240","28120"
"In post","2023","Operational Delivery","Unknown","Male","325","305","32420","28120"
"In post","2023","Operational Research","London","Female","185","175","50120","46600"
"In post","2023","Operational Research","London","Male","210","210","51360","47160"
"In post","2023","Operational Research","Outside London","Female","310","295","38450","37680"
"In post","2023","Operational Research","Outside London","Male","450","435","42150","41890"
"In post","2023","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other","London","Female","1365","1300","42840","36180"
"In post","2023","Other","London","Male","985","970","47340","37400"
"In post","2023","Other","Outside London","Female","6530","5840","30970","28120"
"In post","2023","Other","Outside London","Male","5620","5435","31540","26520"
"In post","2023","Other","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Other","Overseas","Male","15","15","[c]","[c]"
"In post","2023","Other","Unknown","Female","180","180","37960","36860"
"In post","2023","Other","Unknown","Male","1535","1535","42340","40530"
"In post","2023","Planning","London","Female","50","45","48980","45750"
"In post","2023","Planning","London","Male","50","50","51330","44470"
"In post","2023","Planning","Outside London","Female","65","55","40300","39430"
"In post","2023","Planning","Outside London","Male","65","65","45990","40300"
"In post","2023","Planning Inspectors","London","Female","5","5","[c]","[c]"
"In post","2023","Planning Inspectors","London","Male","20","20","[c]","[c]"
"In post","2023","Planning Inspectors","Outside London","Female","180","155","56370","60050"
"In post","2023","Planning Inspectors","Outside London","Male","265","240","59220","60050"
"In post","2023","Policy","London","Female","10995","10605","51360","53500"
"In post","2023","Policy","London","Male","9590","9490","52710","54440"
"In post","2023","Policy","Outside London","Female","6005","5705","42460","38670"
"In post","2023","Policy","Outside London","Male","4330","4245","45150","39820"
"In post","2023","Policy","Overseas","Female","920","915","53710","54000"
"In post","2023","Policy","Overseas","Male","1150","1145","53760","54840"
"In post","2023","Policy","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Policy","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Project Delivery","London","Female","2575","2485","50790","45960"
"In post","2023","Project Delivery","London","Male","2050","2020","54530","55000"
"In post","2023","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Outside London","Female","6980","6605","41730","39220"
"In post","2023","Project Delivery","Outside London","Male","6435","6305","45580","42140"
"In post","2023","Project Delivery","Overseas","Female","30","30","[c]","[c]"
"In post","2023","Project Delivery","Overseas","Male","45","45","64680","64790"
"In post","2023","Project Delivery","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Property","London","Female","435","410","41870","36240"
"In post","2023","Property","London","Male","640","625","45660","43440"
"In post","2023","Property","Outside London","Female","2420","2245","35450","33830"
"In post","2023","Property","Outside London","Male","3345","3250","37760","34360"
"In post","2023","Property","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Property","Overseas","Male","55","55","48770","44530"
"In post","2023","Property","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Property","Unknown","Male","30","30","46230","44330"
"In post","2023","Psychology","London","Female","80","80","42220","35060"
"In post","2023","Psychology","London","Male","10","10","[c]","[c]"
"In post","2023","Psychology","Outside London","Female","1295","1240","37740","32420"
"In post","2023","Psychology","Outside London","Male","200","195","37970","31670"
"In post","2023","Psychology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","London","Female","665","640","47230","42110"
"In post","2023","Science and Engineering","London","Male","465","455","49320","46000"
"In post","2023","Science and Engineering","Outside London","Female","3385","3185","39240","37420"
"In post","2023","Science and Engineering","Outside London","Male","8715","8495","41380","39890"
"In post","2023","Science and Engineering","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Overseas","Male","70","70","56750","57620"
"In post","2023","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Security","London","Female","580","560","44930","39870"
"In post","2023","Security","London","Male","1015","1005","44570","39900"
"In post","2023","Security","Outside London","Female","1675","1605","32640","30650"
"In post","2023","Security","Outside London","Male","6080","5955","33100","29480"
"In post","2023","Security","Overseas","Female","20","20","[c]","[c]"
"In post","2023","Security","Overseas","Male","115","115","41850","38850"
"In post","2023","Security","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Security","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Social Research","London","Female","445","425","49670","45170"
"In post","2023","Social Research","London","Male","155","155","52180","55110"
