"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA/AO","Female","95","90","22440","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA/AO","Male","40","35","21950","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","Female","70","60","27690","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","Male","30","30","27450","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6/G7","Female","140","120","54360","53200"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6/G7","Male","75","75","55090","55290"
"In post","2023","Attorney General's Departments","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO/HEO","Female","45","45","35300","35000"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","AA/AO","Female","105","90","23530","24480"
"In post","2023","Attorney General's Departments","East of England","AA/AO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","EO","Female","90","80","28960","28850"
"In post","2023","Attorney General's Departments","East of England","EO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","G6/G7","Female","140","125","59470","58820"
"In post","2023","Attorney General's Departments","East of England","G6/G7","Male","85","85","60910","61510"
"In post","2023","Attorney General's Departments","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","SEO/HEO","Female","65","60","37530","38760"
"In post","2023","Attorney General's Departments","East of England","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","London","AA/AO","Female","280","255","24230","24480"
"In post","2023","Attorney General's Departments","London","AA/AO","Male","135","135","24090","24480"
"In post","2023","Attorney General's Departments","London","EO","Female","550","520","29200","28410"
"In post","2023","Attorney General's Departments","London","EO","Male","255","250","29310","28470"
"In post","2023","Attorney General's Departments","London","G6/G7","Female","1695","1540","61320","61920"
"In post","2023","Attorney General's Departments","London","G6/G7","Male","900","875","63220","64500"
"In post","2023","Attorney General's Departments","London","SCS level","Female","165","155","88310","81650"
"In post","2023","Attorney General's Departments","London","SCS level","Male","100","100","89680","84760"
"In post","2023","Attorney General's Departments","London","SEO/HEO","Female","425","410","38000","38860"
"In post","2023","Attorney General's Departments","London","SEO/HEO","Male","320","315","38690","40000"
"In post","2023","Attorney General's Departments","North East (England)","AA/AO","Female","70","60","22240","22870"
"In post","2023","Attorney General's Departments","North East (England)","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","EO","Female","65","60","27740","27150"
