"Status","Year","Organisation","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Female","75","65","32620","31940"
"In post","2023","Accountant in Bankruptcy","Southern Scotland","Male","45","45","36120","31940"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Female","15","10","[c]","[c]"
"In post","2023","Active Travel England","North Yorkshire","Male","15","15","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","West Yorkshire","Male","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Female","65","60","31070","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Male","35","35","30220","29180"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Female","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Anglia","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Female","55","50","30970","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Wales","Male","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester","Female","80","75","32090","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester","Male","65","60","32370","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Female","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Male","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Inner London - West","Female","100","95","41920","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","Inner London - West","Male","75","75","46160","45240"
"In post","2023","Advisory, Conciliation and Arbitration Service","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Female","85","75","30220","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Northumberland, and Tyne and Wear","Male","55","50","33000","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Central Scotland","Female","50","45","31460","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Central Scotland","Male","45","40","33850","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands","Female","50","45","33110","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Female","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Yorkshire","Female","35","30","34340","32350"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Yorkshire","Male","35","30","33110","32110"
"In post","2023","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Female","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Female","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Male","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire","Female","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cheshire","Male","10","10","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Female","35","30","31820","30320"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Male","30","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cumbria","Female","120","110","26460","22150"
"In post","2023","Animal and Plant Health Agency","Cumbria","Male","70","70","25790","22150"
"In post","2023","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Female","25","25","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Male","15","15","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Devon","Female","135","125","28230","25920"
"In post","2023","Animal and Plant Health Agency","Devon","Male","85","80","28130","22150"
