"Status","Year","Function_of_post","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Inner London - East","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Inner London - West","Female","35","35","33210","30130"
"In post","2023","Analysis","Cabinet Office","Inner London - West","Male","50","50","35540","32960"
"In post","2023","Analysis","Cabinet Office","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Central Scotland","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Eastern Scotland","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Inner London - West","Female","70","65","68400","67430"
"In post","2023","Analysis","Chancellor's other departments","Inner London - West","Male","125","120","70410","61650"
"In post","2023","Analysis","Chancellor's other departments","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Merseyside","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Merseyside","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Inner London - East","Female","40","40","66500","58050"
"In post","2023","Analysis","Competition and Markets Authority","Inner London - East","Male","85","85","62920","58050"
"In post","2023","Analysis","Competition and Markets Authority","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
