"Status","Year","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","3625","3330","33660","30410"
"In post","2023","Declared disabled","Black","2240","2105","34310","32520"
"In post","2023","Declared disabled","Mixed","1620","1515","35320","31510"
"In post","2023","Declared disabled","Other ethnicity","410","390","37320","33540"
"In post","2023","Declared disabled","Undeclared","2315","2130","34300","30410"
"In post","2023","Declared disabled","Unknown","1420","1305","34700","31280"
"In post","2023","Declared disabled","White","49165","45090","33810","28880"
"In post","2023","Declared non-disabled","Asian","26615","24945","34810","31100"
"In post","2023","Declared non-disabled","Black","12830","12340","34860","32520"
"In post","2023","Declared non-disabled","Mixed","6600","6300","37560","32980"
"In post","2023","Declared non-disabled","Other ethnicity","1865","1775","38180","33640"
"In post","2023","Declared non-disabled","Undeclared","7825","7210","35680","31350"
"In post","2023","Declared non-disabled","Unknown","7085","6475","35080","30560"
"In post","2023","Declared non-disabled","White","261375","244475","36950","32260"
"In post","2023","Undeclared","Asian","1550","1455","37170","32520"
"In post","2023","Undeclared","Black","815","765","36590","32690"
"In post","2023","Undeclared","Mixed","465","445","38090","33000"
"In post","2023","Undeclared","Other ethnicity","230","220","42370","35320"
"In post","2023","Undeclared","Undeclared","7100","6715","38570","34700"
"In post","2023","Undeclared","Unknown","1370","1280","38480","34330"
"In post","2023","Undeclared","White","16385","15185","35710","32640"
"In post","2023","Unknown","Asian","3565","3445","37280","33500"
"In post","2023","Unknown","Black","1405","1375","36830","33830"
"In post","2023","Unknown","Mixed","1035","1000","38790","34190"
"In post","2023","Unknown","Other ethnicity","325","315","43000","39460"
"In post","2023","Unknown","Undeclared","2025","1925","41830","37060"
"In post","2023","Unknown","Unknown","67110","64220","34000","29100"
"In post","2023","Unknown","White","31415","29930","38260","34400"
"Leaver CS","2023","Declared disabled","Asian","235","[c]","31910","28170"
"Leaver CS","2023","Declared disabled","Black","190","[c]","33140","31060"
"Leaver CS","2023","Declared disabled","Mixed","135","[c]","33280","29290"
"Leaver CS","2023","Declared disabled","Other ethnicity","35","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Undeclared","180","[c]","35160","28880"
"Leaver CS","2023","Declared disabled","Unknown","125","[c]","34030","32330"
"Leaver CS","2023","Declared disabled","White","4135","[c]","31790","27650"
"Leaver CS","2023","Declared non-disabled","Asian","2065","[c]","33490","29590"
"Leaver CS","2023","Declared non-disabled","Black","1415","[c]","33350","31060"
"Leaver CS","2023","Declared non-disabled","Mixed","695","[c]","34870","30590"
"Leaver CS","2023","Declared non-disabled","Other ethnicity","200","[c]","37480","30640"
"Leaver CS","2023","Declared non-disabled","Undeclared","645","[c]","33200","28120"
"Leaver CS","2023","Declared non-disabled","Unknown","730","[c]","33010","26320"
"Leaver CS","2023","Declared non-disabled","White","20540","[c]","35210","28120"
"Leaver CS","2023","Undeclared","Asian","130","[c]","33140","29960"
"Leaver CS","2023","Undeclared","Black","80","[c]","34960","31790"
"Leaver CS","2023","Undeclared","Mixed","50","[c]","34210","28240"
"Leaver CS","2023","Undeclared","Other ethnicity","35","[c]","42220","33630"
"Leaver CS","2023","Undeclared","Undeclared","565","[c]","36800","32300"
"Leaver CS","2023","Undeclared","Unknown","110","[c]","39960","32520"
"Leaver CS","2023","Undeclared","White","1425","[c]","34610","28120"
"Leaver CS","2023","Unknown","Asian","335","[c]","36410","30990"
"Leaver CS","2023","Unknown","Black","175","[c]","37320","32330"
"Leaver CS","2023","Unknown","Mixed","120","[c]","37190","31490"
"Leaver CS","2023","Unknown","Other ethnicity","45","[c]","38360","29890"
"Leaver CS","2023","Unknown","Undeclared","205","[c]","39350","37060"
"Leaver CS","2023","Unknown","Unknown","8790","[c]","33520","28000"
"Leaver CS","2023","Unknown","White","2690","[c]","37550","33840"
"Leaver Dept.","2023","Declared disabled","Asian","140","[c]","36300","33630"
"Leaver Dept.","2023","Declared disabled","Black","65","[c]","34400","31900"
"Leaver Dept.","2023","Declared disabled","Mixed","75","[c]","37970","34160"
"Leaver Dept.","2023","Declared disabled","Other ethnicity","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","Undeclared","40","[c]","34880","31990"
"Leaver Dept.","2023","Declared disabled","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","White","1100","[c]","35510","31080"
"Leaver Dept.","2023","Declared non-disabled","Asian","1005","[c]","35620","32520"
"Leaver Dept.","2023","Declared non-disabled","Black","440","[c]","33910","32460"
"Leaver Dept.","2023","Declared non-disabled","Mixed","310","[c]","37890","34170"
"Leaver Dept.","2023","Declared non-disabled","Other ethnicity","70","[c]","37700","33630"
