"Status","Year","Disability","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Outside London","110","95","32430","29050"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","45","40","34610","28120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","360","330","34970","31560"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Luton","Outside London","90","80","28880","28120"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","360","335","34660","31280"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","220","210","33870","31830"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","235","220","32880","29050"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","305","290","34460","31920"
"In post","2023","Declared disabled","Cheshire","Cheshire East","Outside London","190","175","31130","28120"
"In post","2023","Declared disabled","Cheshire","Cheshire West and Chester","Outside London","90","80","28490","28120"
"In post","2023","Declared disabled","Cheshire","Warrington","Outside London","270","245","33390","31760"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","255","230","27880","28120"
"In post","2023","Declared disabled","Cumbria","East Cumbria","Outside London","160","145","30060","26550"
"In post","2023","Declared disabled","Cumbria","West Cumbria","Outside London","200","180","28900","25920"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Derby","Outside London","195","175","26890","25830"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","90","80","27730","28120"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","180","165","30320","28120"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Nottingham","Outside London","1205","1115","32370","28130"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","135","125","32870","30320"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","170","150","34070","29150"
"In post","2023","Declared disabled","Devon","Devon CC","Outside London","790","710","31590","28120"
"In post","2023","Declared disabled","Devon","Plymouth","Outside London","380","345","30730","28120"
"In post","2023","Declared disabled","Devon","Torbay","Outside London","65","55","27650","28120"
"In post","2023","Declared disabled","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","145","125","27490","28120"
"In post","2023","Declared disabled","Dorset and Somerset","Dorset","Outside London","295","275","31660","30410"
"In post","2023","Declared disabled","Dorset and Somerset","Somerset CC","Outside London","310","285","32550","28120"
"In post","2023","Declared disabled","East Anglia","Breckland and South Norfolk","Outside London","80","75","30600","28480"
"In post","2023","Declared disabled","East Anglia","Cambridgeshire CC","Outside London","400","375","33870","32920"
"In post","2023","Declared disabled","East Anglia","North and West Norfolk","Outside London","140","130","30340","29470"
"In post","2023","Declared disabled","East Anglia","Norwich and East Norfolk","Outside London","310","275","29850","28120"
"In post","2023","Declared disabled","East Anglia","Peterborough","Outside London","240","215","29630","27400"
"In post","2023","Declared disabled","East Anglia","Suffolk CC","Outside London","495","450","30120","28120"
"In post","2023","Declared disabled","East Wales","Cardiff and Vale of Glamorgan","Outside London","1175","1085","34770","30440"
"In post","2023","Declared disabled","East Wales","Flintshire and Wrexham","Outside London","285","265","29420","28120"
"In post","2023","Declared disabled","East Wales","Monmouthshire and Newport","Outside London","515","480","34490","31560"
"In post","2023","Declared disabled","East Wales","Powys","Outside London","55","50","30890","27470"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","210","200","31020","28480"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","290","250","28360","28080"
