"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","London","AA","Female","90","80","24340","23500"
"In post","2023","Declared disabled","London","AA","Male","70","65","24220","23500"
"In post","2023","Declared disabled","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","AO","Female","750","660","26580","25610"
"In post","2023","Declared disabled","London","AO","Male","455","440","27700","26400"
"In post","2023","Declared disabled","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","EO","Female","1570","1440","31520","32520"
"In post","2023","Declared disabled","London","EO","Male","845","805","31780","31950"
"In post","2023","Declared disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","G6","Female","415","390","70530","69660"
"In post","2023","Declared disabled","London","G6","Male","320","315","71660","70840"
"In post","2023","Declared disabled","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","G7","Female","960","925","58190","56430"
"In post","2023","Declared disabled","London","G7","Male","785","770","58830","57940"
"In post","2023","Declared disabled","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","HEO","Female","1220","1185","36210","36180"
"In post","2023","Declared disabled","London","HEO","Male","860","845","37200","36620"
"In post","2023","Declared disabled","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","SCS level","Female","180","170","91110","83310"
"In post","2023","Declared disabled","London","SCS level","Male","155","155","96070","84400"
"In post","2023","Declared disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","SEO","Female","835","800","44330","43650"
"In post","2023","Declared disabled","London","SEO","Male","620","610","44670","43760"
"In post","2023","Declared disabled","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","Unknown","Female","345","330","35940","33820"
"In post","2023","Declared disabled","London","Unknown","Male","110","105","37430","34820"
"In post","2023","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Outside London","AA","Female","970","810","21600","21380"
"In post","2023","Declared disabled","Outside London","AA","Male","960","885","21820","21380"
"In post","2023","Declared disabled","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
