"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","AO","Female","40","40","21090","20980"
"In post","2023","16-19","Attorney General's Departments","AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AA","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","AO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Department for International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","AA","Female","25","20","[c]","[c]"
"In post","2023","16-19","Department for Transport","AA","Male","20","15","[c]","[c]"
"In post","2023","16-19","Department for Transport","AO","Female","30","30","[c]","[c]"
"In post","2023","16-19","Department for Transport","AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Department for Transport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","AO","Female","35","30","21720","21690"
"In post","2023","16-19","Department for Work and Pensions","AO","Male","30","30","22170","21690"
"In post","2023","16-19","Department for Work and Pensions","EO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Food Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Unknown","Female","5","5","[c]","[c]"
"In post","2023","16-19","Foreign, Commonwealth and Development Office","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Land Registry","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","AO","Female","90","85","22720","22520"
"In post","2023","16-19","HM Revenue and Customs","AO","Male","90","85","22770","22520"
"In post","2023","16-19","HM Revenue and Customs","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","EO","Male","15","15","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Revenue and Customs","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","HM Treasury","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Home Office","AO","Female","60","50","22880","22400"
"In post","2023","16-19","Home Office","AO","Male","50","45","23320","22400"
"In post","2023","16-19","Home Office","EO","Female","15","15","[c]","[c]"
"In post","2023","16-19","Home Office","EO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","AA","Female","5","5","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","AA","Male","20","20","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","AO","Female","40","40","20720","20620"
"In post","2023","16-19","Ministry of Defence","AO","Male","110","110","19910","19430"
"In post","2023","16-19","Ministry of Defence","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Ministry of Defence","Unknown","Male","35","35","18850","18280"
"In post","2023","16-19","Ministry of Justice","AA","Female","65","65","23240","23230"
"In post","2023","16-19","Ministry of Justice","AA","Male","50","50","23250","23230"
"In post","2023","16-19","Ministry of Justice","AO","Female","105","105","27700","28880"
"In post","2023","16-19","Ministry of Justice","AO","Male","90","90","28050","28880"
"In post","2023","16-19","Ministry of Justice","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Ministry of Justice","Unknown","Female","30","25","20140","19090"
"In post","2023","16-19","Ministry of Justice","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","National Crime Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Office for Standards in Education, Children's Services and Skills","AO","Male","[c]","[c]","[c]","[c]"
