"Status","Year","Parent_department","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","AA/AO","Female","Heterosexual / straight","915","840","23180","22870"
"In post","2023","Attorney General's Departments","AA/AO","Female","LGBO","45","45","22800","22870"
"In post","2023","Attorney General's Departments","AA/AO","Female","Undeclared","45","45","23470","24280"
"In post","2023","Attorney General's Departments","AA/AO","Female","Unknown","185","150","23540","22870"
"In post","2023","Attorney General's Departments","AA/AO","Male","Heterosexual / straight","335","330","23200","22870"
"In post","2023","Attorney General's Departments","AA/AO","Male","LGBO","40","40","22760","22870"
"In post","2023","Attorney General's Departments","AA/AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","AA/AO","Male","Unknown","65","65","23400","22870"
"In post","2023","Attorney General's Departments","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","EO","Female","Heterosexual / straight","1085","1010","28420","28200"
"In post","2023","Attorney General's Departments","EO","Female","LGBO","80","80","28090","27760"
"In post","2023","Attorney General's Departments","EO","Female","Undeclared","55","50","28730","28300"
"In post","2023","Attorney General's Departments","EO","Female","Unknown","235","205","29000","28850"
"In post","2023","Attorney General's Departments","EO","Male","Heterosexual / straight","390","385","28640","28200"
"In post","2023","Attorney General's Departments","EO","Male","LGBO","35","35","28700","28200"
"In post","2023","Attorney General's Departments","EO","Male","Undeclared","30","30","29120","28200"
"In post","2023","Attorney General's Departments","EO","Male","Unknown","85","85","28960","28850"
"In post","2023","Attorney General's Departments","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","G6/G7","Female","Heterosexual / straight","2340","2135","58190","55290"
"In post","2023","Attorney General's Departments","G6/G7","Female","LGBO","95","90","60160","59040"
"In post","2023","Attorney General's Departments","G6/G7","Female","Undeclared","135","125","60510","57670"
"In post","2023","Attorney General's Departments","G6/G7","Female","Unknown","680","585","61150","60350"
"In post","2023","Attorney General's Departments","G6/G7","Male","Heterosexual / straight","1270","1235","59980","58030"
"In post","2023","Attorney General's Departments","G6/G7","Male","LGBO","120","115","60340","56450"
