"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AO","Female","20","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","EO","Female","50","50","27610","26670"
"In post","2023","Declared disabled","Analysis","EO","Male","45","40","28710","28210"
"In post","2023","Declared disabled","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G6","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G6","Male","30","30","71870","71330"
"In post","2023","Declared disabled","Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G7","Female","120","110","55030","53960"
"In post","2023","Declared disabled","Analysis","G7","Male","140","135","55020","54860"
"In post","2023","Declared disabled","Analysis","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HEO","Female","160","150","33500","32960"
"In post","2023","Declared disabled","Analysis","HEO","Male","130","130","33930","34110"
"In post","2023","Declared disabled","Analysis","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SEO","Female","145","130","40760","39890"
"In post","2023","Declared disabled","Analysis","SEO","Male","150","145","41510","39890"
"In post","2023","Declared disabled","Analysis","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Female","45","40","27660","27450"
"In post","2023","Declared disabled","Commercial","EO","Male","30","30","27420","27080"
"In post","2023","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6","Female","30","30","74460","72560"
"In post","2023","Declared disabled","Commercial","G6","Male","35","35","78440","74000"
"In post","2023","Declared disabled","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G7","Female","90","90","57630","56000"
"In post","2023","Declared disabled","Commercial","G7","Male","90","90","60120","56430"
"In post","2023","Declared disabled","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HEO","Female","100","95","33140","32670"
"In post","2023","Declared disabled","Commercial","HEO","Male","55","55","33500","33990"
"In post","2023","Declared disabled","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO","Female","115","110","41490","41800"
"In post","2023","Declared disabled","Commercial","SEO","Male","80","75","42170","41800"
"In post","2023","Declared disabled","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Female","10","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Female","35","35","29160","28300"
"In post","2023","Declared disabled","Communications","EO","Male","30","30","28440","27740"
"In post","2023","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Female","40","40","56970","56650"
"In post","2023","Declared disabled","Communications","G7","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Female","70","65","35350","34470"
"In post","2023","Declared disabled","Communications","HEO","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO","Female","55","50","42970","42840"
"In post","2023","Declared disabled","Communications","SEO","Male","40","40","42650","42160"
"In post","2023","Declared disabled","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AO","Female","240","195","23240","22520"
"In post","2023","Declared disabled","Counter Fraud","AO","Male","150","135","22880","22520"
"In post","2023","Declared disabled","Counter Fraud","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","EO","Female","655","580","29120","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Male","365","340","29030","28120"
"In post","2023","Declared disabled","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6","Male","20","15","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","G7","Female","50","45","57690","57970"
"In post","2023","Declared disabled","Counter Fraud","G7","Male","50","45","58440","57970"
"In post","2023","Declared disabled","Counter Fraud","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","HEO","Female","280","255","35610","34700"
"In post","2023","Declared disabled","Counter Fraud","HEO","Male","225","220","35800","35000"
"In post","2023","Declared disabled","Counter Fraud","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","SEO","Female","100","95","42650","42510"
"In post","2023","Declared disabled","Counter Fraud","SEO","Male","60","60","42990","42510"
"In post","2023","Declared disabled","Counter Fraud","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","AO","Female","435","360","22360","21690"
"In post","2023","Declared disabled","Debt","AO","Male","260","240","22340","22520"
"In post","2023","Declared disabled","Debt","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","EO","Female","115","100","28760","28120"
"In post","2023","Declared disabled","Debt","EO","Male","60","55","28460","28120"
"In post","2023","Declared disabled","Debt","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","HEO","Female","20","20","[c]","[c]"
"In post","2023","Declared disabled","Debt","HEO","Male","15","10","[c]","[c]"
"In post","2023","Declared disabled","Debt","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","SEO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Debt","SEO","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Debt","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","AA","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","AO","Female","50","45","23090","22220"
"In post","2023","Declared disabled","Digital, Data & Technology","AO","Male","50","50","22880","22220"
"In post","2023","Declared disabled","Digital, Data & Technology","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","EO","Female","215","200","28470","28120"
"In post","2023","Declared disabled","Digital, Data & Technology","EO","Male","290","280","28470","28120"
"In post","2023","Declared disabled","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","G6","Female","65","60","68620","66860"
"In post","2023","Declared disabled","Digital, Data & Technology","G6","Male","90","90","70490","70710"
"In post","2023","Declared disabled","Digital, Data & Technology","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","G7","Female","220","215","54500","54500"
"In post","2023","Declared disabled","Digital, Data & Technology","G7","Male","275","270","56540","56180"
"In post","2023","Declared disabled","Digital, Data & Technology","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","HEO","Female","310","290","34310","34170"
"In post","2023","Declared disabled","Digital, Data & Technology","HEO","Male","370","360","34570","34170"
"In post","2023","Declared disabled","Digital, Data & Technology","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","SCS level","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","SEO","Female","275","260","41120","41200"
"In post","2023","Declared disabled","Digital, Data & Technology","SEO","Male","325","320","42350","42140"
"In post","2023","Declared disabled","Digital, Data & Technology","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","AO","Female","155","125","22780","22520"
"In post","2023","Declared disabled","Finance","AO","Male","65","60","22770","22520"
"In post","2023","Declared disabled","Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","EO","Female","135","130","28370","28120"
"In post","2023","Declared disabled","Finance","EO","Male","70","70","28500","28120"
"In post","2023","Declared disabled","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6","Female","35","35","68380","68270"
"In post","2023","Declared disabled","Finance","G6","Male","30","30","[c]","[c]"
"In post","2023","Declared disabled","Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","G7","Female","95","90","55970","55080"
"In post","2023","Declared disabled","Finance","G7","Male","75","75","56130","56300"
"In post","2023","Declared disabled","Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","HEO","Female","165","150","34810","34170"
"In post","2023","Declared disabled","Finance","HEO","Male","135","135","35110","34400"
"In post","2023","Declared disabled","Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","SEO","Female","150","140","41620","41500"
"In post","2023","Declared disabled","Finance","SEO","Male","115","110","42010","41690"
"In post","2023","Declared disabled","Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","AO","Female","155","135","22140","22150"
"In post","2023","Declared disabled","Grants Management","AO","Male","95","90","22150","22150"
"In post","2023","Declared disabled","Grants Management","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","EO","Female","65","55","26170","25920"
"In post","2023","Declared disabled","Grants Management","EO","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","HEO","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","HEO","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SEO","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SEO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Grants Management","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","AO","Female","105","90","22750","22220"
"In post","2023","Declared disabled","Human Resources","AO","Male","50","50","22790","22220"
"In post","2023","Declared disabled","Human Resources","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","EO","Female","285","260","28190","28120"
"In post","2023","Declared disabled","Human Resources","EO","Male","210","205","29280","28120"
"In post","2023","Declared disabled","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6","Female","70","70","67960","66860"
"In post","2023","Declared disabled","Human Resources","G6","Male","30","25","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","G7","Female","200","195","54650","54690"
"In post","2023","Declared disabled","Human Resources","G7","Male","90","90","55550","55500"
"In post","2023","Declared disabled","Human Resources","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","HEO","Female","355","335","34290","34170"
"In post","2023","Declared disabled","Human Resources","HEO","Male","185","180","35670","34710"
"In post","2023","Declared disabled","Human Resources","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Female","40","35","87750","82060"
"In post","2023","Declared disabled","Human Resources","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","SEO","Female","275","260","41860","41510"
"In post","2023","Declared disabled","Human Resources","SEO","Male","110","105","42570","41800"
"In post","2023","Declared disabled","Human Resources","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Female","15","10","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G7","Female","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","HEO","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","HEO","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO","Female","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Internal Audit","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","AO","Female","160","145","23230","22870"
"In post","2023","Declared disabled","Legal","AO","Male","70","70","23610","22870"
"In post","2023","Declared disabled","Legal","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","EO","Female","205","180","28610","28430"
"In post","2023","Declared disabled","Legal","EO","Male","70","65","29240","28850"
"In post","2023","Declared disabled","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","G6","Female","70","65","71590","71300"
"In post","2023","Declared disabled","Legal","G6","Male","45","45","74960","73890"
"In post","2023","Declared disabled","Legal","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","G7","Female","315","285","57550","56450"
"In post","2023","Declared disabled","Legal","G7","Male","190","180","58260","56450"
"In post","2023","Declared disabled","Legal","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","HEO","Female","85","80","35720","35000"
"In post","2023","Declared disabled","Legal","HEO","Male","45","45","36030","35000"
"In post","2023","Declared disabled","Legal","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","SEO","Female","60","55","40780","40680"
"In post","2023","Declared disabled","Legal","SEO","Male","15","15","[c]","[c]"
"In post","2023","Declared disabled","Legal","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
