"Status","Year","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","140","120","42130","32660"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","55","55","52010","55170"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Female","100","90","40060","32660"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Male","35","35","47140","54100"
"In post","2023","Attorney General's Departments","Cheshire","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","Female","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Female","210","195","38680","31180"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","Male","110","110","37690","31490"
"In post","2023","Attorney General's Departments","Devon","Female","60","55","39400","36970"
"In post","2023","Attorney General's Departments","Devon","Male","50","50","42860","38940"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","Female","105","90","34250","28850"
"In post","2023","Attorney General's Departments","East Anglia","Male","50","45","45560","49050"
"In post","2023","Attorney General's Departments","East Wales","Female","225","205","38990","33810"
"In post","2023","Attorney General's Departments","East Wales","Male","105","100","46140","49050"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Female","65","55","38700","28850"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","Female","165","150","42260","38460"
"In post","2023","Attorney General's Departments","Essex","Male","50","45","45160","38660"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Female","180","165","43800","49050"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Male","100","95","47080","51040"
"In post","2023","Attorney General's Departments","Greater Manchester","Female","270","250","39490","32130"
"In post","2023","Attorney General's Departments","Greater Manchester","Male","130","125","44750","49050"
