"Status","Year","Age","Disability","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","16-19","Declared disabled","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AA","Heterosexual / straight","105","100","21290","23230"
"In post","2023","16-19","Declared non-disabled","AA","LGBO","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AA","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AA","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AO","Heterosexual / straight","345","340","23900","22520"
"In post","2023","16-19","Declared non-disabled","AO","LGBO","40","35","24070","22520"
"In post","2023","16-19","Declared non-disabled","AO","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","AO","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","EO","Heterosexual / straight","65","65","27210","27650"
"In post","2023","16-19","Declared non-disabled","EO","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA","Unknown","[c]","[c]","[c]","[c]"
