"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AO","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","EO","45","40","29390","28480"
"In post","2023","Asian","Commercial","G6","30","30","71470","68500"
"In post","2023","Asian","Commercial","G7","90","90","60060","57130"
"In post","2023","Asian","Commercial","HEO","125","120","34230","34170"
"In post","2023","Asian","Commercial","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","SEO","80","80","43340","43110"
"In post","2023","Asian","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AO","10","10","[c]","[c]"
"In post","2023","Asian","Communications","EO","40","40","28910","28850"
"In post","2023","Asian","Communications","G6","5","5","[c]","[c]"
"In post","2023","Asian","Communications","G7","20","20","[c]","[c]"
"In post","2023","Asian","Communications","HEO","45","45","36240","35320"
"In post","2023","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SEO","50","50","44370","43750"
"In post","2023","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","G7","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AO","210","180","24160","25610"
"In post","2023","Asian","Counter Fraud","EO","445","425","30040","28130"
"In post","2023","Asian","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","G7","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","HEO","155","155","36830","35560"
"In post","2023","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SEO","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
