"Status","Year","Age","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","40","40","22680","22150"
"In post","2023","16-19","Declared non-disabled","Asian","70","65","23560","22520"
"In post","2023","16-19","Declared non-disabled","Black","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","15","15","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","White","530","520","23810","22870"
"In post","2023","16-19","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","White","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Asian","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Mixed","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","580","555","23000","22500"
"In post","2023","16-19","Unknown","White","135","130","22540","22400"
"In post","2023","20-29","Declared disabled","Asian","465","455","31040","28880"
"In post","2023","20-29","Declared disabled","Black","220","220","31590","31790"
"In post","2023","20-29","Declared disabled","Mixed","320","315","31410","30130"
"In post","2023","20-29","Declared disabled","Other ethnicity","50","50","33750","32520"
"In post","2023","20-29","Declared disabled","Undeclared","105","105","31700","30410"
"In post","2023","20-29","Declared disabled","Unknown","160","160","31230","28880"
"In post","2023","20-29","Declared disabled","White","5240","5145","31000","28880"
"In post","2023","20-29","Declared non-disabled","Asian","5275","5160","30500","28120"
"In post","2023","20-29","Declared non-disabled","Black","1610","1590","31790","31160"
"In post","2023","20-29","Declared non-disabled","Mixed","1665","1640","32500","30650"
"In post","2023","20-29","Declared non-disabled","Other ethnicity","360","355","33180","32000"
"In post","2023","20-29","Declared non-disabled","Undeclared","495","485","32630","30600"
"In post","2023","20-29","Declared non-disabled","Unknown","640","625","29870","28120"
"In post","2023","20-29","Declared non-disabled","White","35965","35510","31620","29100"
"In post","2023","20-29","Undeclared","Asian","245","240","31870","29350"
"In post","2023","20-29","Undeclared","Black","75","75","32660","32520"
"In post","2023","20-29","Undeclared","Mixed","85","85","33050","31120"
"In post","2023","20-29","Undeclared","Other ethnicity","55","55","36350","33810"
"In post","2023","20-29","Undeclared","Undeclared","390","385","33440","32410"
"In post","2023","20-29","Undeclared","Unknown","115","115","37090","34370"
"In post","2023","20-29","Undeclared","White","1390","1370","31700","28880"
"In post","2023","20-29","Unknown","Asian","1090","1080","32270","30130"
"In post","2023","20-29","Unknown","Black","320","320","32210","30280"
"In post","2023","20-29","Unknown","Mixed","410","405","32500","30330"
"In post","2023","20-29","Unknown","Other ethnicity","95","90","35150","32960"
"In post","2023","20-29","Unknown","Undeclared","215","215","35770","33830"
"In post","2023","20-29","Unknown","Unknown","21080","20755","30130","28080"
"In post","2023","20-29","Unknown","White","7000","6945","32350","30330"
"In post","2023","30-39","Declared disabled","Asian","690","655","35100","31990"
"In post","2023","30-39","Declared disabled","Black","340","325","36020","32520"
"In post","2023","30-39","Declared disabled","Mixed","370","350","36050","32260"
"In post","2023","30-39","Declared disabled","Other ethnicity","70","65","41120","37590"
"In post","2023","30-39","Declared disabled","Undeclared","280","275","36600","33350"
"In post","2023","30-39","Declared disabled","Unknown","285","270","34370","31970"
"In post","2023","30-39","Declared disabled","White","8320","7915","35030","31890"
"In post","2023","30-39","Declared non-disabled","Asian","7570","7170","35600","32510"
"In post","2023","30-39","Declared non-disabled","Black","2750","2660","34850","32520"
"In post","2023","30-39","Declared non-disabled","Mixed","1990","1900","38930","34700"
"In post","2023","30-39","Declared non-disabled","Other ethnicity","490","475","39420","34980"
"In post","2023","30-39","Declared non-disabled","Undeclared","1325","1265","37030","33520"
"In post","2023","30-39","Declared non-disabled","Unknown","1600","1475","34370","31280"
"In post","2023","30-39","Declared non-disabled","White","56285","53685","37540","34060"
"In post","2023","30-39","Undeclared","Asian","410","390","36570","32520"
"In post","2023","30-39","Undeclared","Black","120","115","36570","32520"
"In post","2023","30-39","Undeclared","Mixed","130","125","36910","32990"
"In post","2023","30-39","Undeclared","Other ethnicity","55","55","44310","43090"
"In post","2023","30-39","Undeclared","Undeclared","1245","1210","39170","35000"
"In post","2023","30-39","Undeclared","Unknown","265","255","39890","35410"
"In post","2023","30-39","Undeclared","White","2915","2770","36350","32790"
"In post","2023","30-39","Unknown","Asian","1020","985","38620","35000"
"In post","2023","30-39","Unknown","Black","350","345","37160","34380"
"In post","2023","30-39","Unknown","Mixed","300","290","41620","38600"
"In post","2023","30-39","Unknown","Other ethnicity","95","90","41930","39500"
"In post","2023","30-39","Unknown","Undeclared","480","465","40730","37090"
"In post","2023","30-39","Unknown","Unknown","19210","18465","35250","31280"
"In post","2023","30-39","Unknown","White","7380","7125","39190","37060"
"In post","2023","40-49","Declared disabled","Asian","1075","980","34100","30380"
"In post","2023","40-49","Declared disabled","Black","445","420","34970","32520"
