"Status","Year","Disability","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","Female","90","80","42590","36530"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","Female","65","60","40170","33020"
"In post","2023","Declared disabled","Asian","Cabinet Office","Male","50","50","43460","35650"
"In post","2023","Declared disabled","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Female","55","50","42290","41130"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Male","30","30","43820","39610"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
