"Status","Year","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Female","4750","4490","43850","39640"
"In post","2023","Analysis","Male","5565","5465","45940","41560"
"In post","2023","Analysis","Unknown","10","10","[c]","[c]"
"In post","2023","Commercial","Female","3850","3680","45220","40750"
"In post","2023","Commercial","Male","3435","3390","50840","43400"
"In post","2023","Communications","Female","2515","2390","43830","40900"
"In post","2023","Communications","Male","1635","1620","44870","41350"
"In post","2023","Counter Fraud","Female","9125","8230","32800","29730"
"In post","2023","Counter Fraud","Male","8015","7705","35580","34170"
"In post","2023","Debt","Female","4680","4035","24690","22520"
"In post","2023","Debt","Male","3080","2940","24750","22520"
"In post","2023","Digital, Data & Technology","Female","9805","9360","42140","38840"
"In post","2023","Digital, Data & Technology","Male","16540","16275","44210","41130"
"In post","2023","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Finance","Female","7190","6645","39130","35000"
"In post","2023","Finance","Male","5680","5560","43470","39150"
"In post","2023","Grants Management","Female","1510","1340","26460","22150"
"In post","2023","Grants Management","Male","1105","1075","26690","22150"
"In post","2023","Human Resources","Female","9080","8565","39740","35000"
"In post","2023","Human Resources","Male","5335","5230","39000","34400"
"In post","2023","Internal Audit","Female","390","365","46130","43580"
"In post","2023","Internal Audit","Male","340","330","50360","47800"
"In post","2023","Legal","Female","8775","8045","46610","49050"
"In post","2023","Legal","Male","4605","4470","50220","52360"
"In post","2023","No function","Female","187835","169590","32230","28120"
"In post","2023","No function","Male","142850","137490","34680","30740"
"In post","2023","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Female","11370","10770","44590","41200"
"In post","2023","Project Delivery","Male","10930","10700","47790","42620"
"In post","2023","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Female","3945","3685","35750","32970"
"In post","2023","Property","Male","4960","4835","38770","35000"
"In post","2023","Security","Female","2605","2495","35110","32640"
"In post","2023","Security","Male","7430","7295","34670","30700"
"In post","2023","Unknown","Female","16275","15320","41360","37830"
"In post","2023","Unknown","Male","14550","14270","42750","39150"
"Leaver CS","2023","Analysis","Female","335","[c]","36350","31740"
"Leaver CS","2023","Analysis","Male","540","[c]","37160","32320"
"Leaver CS","2023","Commercial","Female","320","[c]","47730","39890"
"Leaver CS","2023","Commercial","Male","320","[c]","53320","43250"
"Leaver CS","2023","Communications","Female","265","[c]","42300","40050"
"Leaver CS","2023","Communications","Male","180","[c]","43610","38900"
"Leaver CS","2023","Counter Fraud","Female","455","[c]","28960","28120"
"Leaver CS","2023","Counter Fraud","Male","455","[c]","31790","28120"
"Leaver CS","2023","Debt","Female","510","[c]","22500","21690"
"Leaver CS","2023","Debt","Male","335","[c]","22890","21690"
"Leaver CS","2023","Digital, Data & Technology","Female","760","[c]","42810","39490"
"Leaver CS","2023","Digital, Data & Technology","Male","1445","[c]","44220","40450"
"Leaver CS","2023","Finance","Female","430","[c]","39790","35140"
"Leaver CS","2023","Finance","Male","435","[c]","43100","39150"
"Leaver CS","2023","Grants Management","Female","115","[c]","23460","22150"
"Leaver CS","2023","Grants Management","Male","85","[c]","24360","22150"
"Leaver CS","2023","Human Resources","Female","910","[c]","34500","28310"
"Leaver CS","2023","Human Resources","Male","585","[c]","36730","32670"
"Leaver CS","2023","Internal Audit","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Male","40","[c]","46910","43300"
"Leaver CS","2023","Legal","Female","565","[c]","43120","38940"
"Leaver CS","2023","Legal","Male","325","[c]","50910","52790"
"Leaver CS","2023","No function","Female","17200","[c]","30450","27570"
"Leaver CS","2023","No function","Male","13540","[c]","33330","28120"
"Leaver CS","2023","Project Delivery","Female","610","[c]","41580","38640"
"Leaver CS","2023","Project Delivery","Male","765","[c]","44650","41050"
"Leaver CS","2023","Property","Female","275","[c]","33190","28080"
"Leaver CS","2023","Property","Male","415","[c]","36930","33990"
"Leaver CS","2023","Security","Female","200","[c]","31220","29100"
"Leaver CS","2023","Security","Male","730","[c]","32850","27500"
"Leaver CS","2023","Unknown","Female","1515","[c]","38710","33500"
"Leaver CS","2023","Unknown","Male","1390","[c]","40710","34730"
"Leaver Dept.","2023","Analysis","Female","275","[c]","39380","36590"
"Leaver Dept.","2023","Analysis","Male","285","[c]","42410","37430"
"Leaver Dept.","2023","Commercial","Female","155","[c]","39270","38980"
"Leaver Dept.","2023","Commercial","Male","140","[c]","39640","38510"
"Leaver Dept.","2023","Communications","Female","185","[c]","40280","35740"
"Leaver Dept.","2023","Communications","Male","120","[c]","40350","37300"
"Leaver Dept.","2023","Counter Fraud","Female","175","[c]","30060","28120"
"Leaver Dept.","2023","Counter Fraud","Male","155","[c]","32120","28120"
"Leaver Dept.","2023","Debt","Female","120","[c]","23800","21690"
"Leaver Dept.","2023","Debt","Male","75","[c]","[c]","[c]"
"Leaver Dept.","2023","Digital, Data & Technology","Female","330","[c]","41230","37590"
"Leaver Dept.","2023","Digital, Data & Technology","Male","420","[c]","42140","38470"
"Leaver Dept.","2023","Finance","Female","240","[c]","42890","37000"
