"Status","Year","Disability","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Female","Heterosexual / straight","330","305","42820","39300"
"In post","2023","Declared disabled","Analysis","Female","LGBO","105","100","40480","38900"
"In post","2023","Declared disabled","Analysis","Female","Undeclared","45","40","42980","39120"
"In post","2023","Declared disabled","Analysis","Female","Unknown","40","40","35860","32550"
"In post","2023","Declared disabled","Analysis","Male","Heterosexual / straight","355","345","44780","40820"
"In post","2023","Declared disabled","Analysis","Male","LGBO","65","60","40280","37730"
"In post","2023","Declared disabled","Analysis","Male","Undeclared","40","40","42530","38980"
"In post","2023","Declared disabled","Analysis","Male","Unknown","55","55","45460","46420"
"In post","2023","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Female","Heterosexual / straight","315","295","44230","40620"
"In post","2023","Declared disabled","Commercial","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Female","Undeclared","35","35","47200","42700"
"In post","2023","Declared disabled","Commercial","Female","Unknown","50","50","45460","39670"
"In post","2023","Declared disabled","Commercial","Male","Heterosexual / straight","215","215","50960","43400"
"In post","2023","Declared disabled","Commercial","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Male","Undeclared","35","35","43380","41960"
"In post","2023","Declared disabled","Commercial","Male","Unknown","55","55","53090","56000"
"In post","2023","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Female","Heterosexual / straight","160","150","42700","39960"
"In post","2023","Declared disabled","Communications","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Female","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Male","Heterosexual / straight","90","85","39550","37350"
"In post","2023","Declared disabled","Communications","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Communications","Male","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Female","Heterosexual / straight","1005","895","32220","28130"
"In post","2023","Declared disabled","Counter Fraud","Female","LGBO","95","90","32710","28130"
"In post","2023","Declared disabled","Counter Fraud","Female","Undeclared","140","125","30230","28120"
"In post","2023","Declared disabled","Counter Fraud","Female","Unknown","100","85","30820","28130"
"In post","2023","Declared disabled","Counter Fraud","Male","Heterosexual / straight","610","575","33470","29730"
"In post","2023","Declared disabled","Counter Fraud","Male","LGBO","90","90","32210","31280"
"In post","2023","Declared disabled","Counter Fraud","Male","Undeclared","100","90","33340","28120"
"In post","2023","Declared disabled","Counter Fraud","Male","Unknown","75","65","33870","32520"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Female","Heterosexual / straight","460","385","24840","22520"
"In post","2023","Declared disabled","Debt","Female","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Debt","Female","Undeclared","50","40","24370","22520"
"In post","2023","Declared disabled","Debt","Female","Unknown","50","45","23660","22520"
"In post","2023","Declared disabled","Debt","Male","Heterosexual / straight","240","220","24370","22520"
"In post","2023","Declared disabled","Debt","Male","LGBO","50","45","23990","22520"
"In post","2023","Declared disabled","Debt","Male","Undeclared","30","25","22920","21690"
"In post","2023","Declared disabled","Debt","Male","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Female","Heterosexual / straight","810","765","40350","37680"
"In post","2023","Declared disabled","Digital, Data & Technology","Female","LGBO","150","145","40960","37590"
"In post","2023","Declared disabled","Digital, Data & Technology","Female","Undeclared","130","120","42420","39550"
"In post","2023","Declared disabled","Digital, Data & Technology","Female","Unknown","70","65","38120","34400"
"In post","2023","Declared disabled","Digital, Data & Technology","Male","Heterosexual / straight","1060","1035","42370","38470"
"In post","2023","Declared disabled","Digital, Data & Technology","Male","LGBO","140","140","41880","37880"
"In post","2023","Declared disabled","Digital, Data & Technology","Male","Undeclared","170","165","41360","37760"
"In post","2023","Declared disabled","Digital, Data & Technology","Male","Unknown","75","75","39510","34440"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Female","Heterosexual / straight","610","555","38560","35000"
"In post","2023","Declared disabled","Finance","Female","LGBO","40","40","36140","34170"
"In post","2023","Declared disabled","Finance","Female","Undeclared","60","50","31460","28130"
"In post","2023","Declared disabled","Finance","Female","Unknown","45","40","32400","28130"
"In post","2023","Declared disabled","Finance","Male","Heterosexual / straight","390","370","41390","37680"
"In post","2023","Declared disabled","Finance","Male","LGBO","50","50","39420","34430"
"In post","2023","Declared disabled","Finance","Male","Undeclared","40","40","42060","38470"
"In post","2023","Declared disabled","Finance","Male","Unknown","30","30","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
