"Status","Year","Disability","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","London","65","60","48210","52020"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","Outside London","50","45","36630","33810"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","London","85","85","40170","34250"
"In post","2023","Declared disabled","Asian","Cabinet Office","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","London","60","55","47300","41360"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Education","Outside London","40","40","37830","37590"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","London","35","35","39090","33830"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Outside London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","Outside London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","London","395","355","33050","32520"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","Outside London","815","715","27350","28120"
"In post","2023","Declared disabled","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","London","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Food Standards Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Land Registry","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Revenue and Customs","London","150","140","43040","39790"
"In post","2023","Declared disabled","Asian","HM Revenue and Customs","Outside London","330","305","32450","28130"
"In post","2023","Declared disabled","Asian","HM Treasury","London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Home Office","London","275","250","36830","30960"
"In post","2023","Declared disabled","Asian","Home Office","Outside London","100","90","27400","25980"
"In post","2023","Declared disabled","Asian","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Defence","London","30","30","37940","37190"
"In post","2023","Declared disabled","Asian","Ministry of Defence","Outside London","80","75","39260","34000"
"In post","2023","Declared disabled","Asian","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Ministry of Justice","London","230","220","35470","32920"
"In post","2023","Declared disabled","Asian","Ministry of Justice","Outside London","415","385","28430","25830"
"In post","2023","Declared disabled","Asian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Crime Agency","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Gas and Electricity Markets","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Scotland","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government","Outside London","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","The National Archives","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Export Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Statistics Authority","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Attorney General's Departments","London","65","60","40190","30560"
"In post","2023","Declared disabled","Black","Attorney General's Departments","Outside London","15","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Cabinet Office","London","40","40","43950","39350"
"In post","2023","Declared disabled","Black","Cabinet Office","Outside London","5","5","[c]","[c]"
