"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","AA/AO","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","EO","110","110","28710","28720"
"In post","2023","Asian","Analysis","G6/G7","215","210","60660","58970"
"In post","2023","Asian","Analysis","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","SEO/HEO","425","420","38350","38430"
"In post","2023","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","EO","50","50","29120","28570"
"In post","2023","Asian","Commercial","G6/G7","130","125","63480","64010"
"In post","2023","Asian","Commercial","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","SEO/HEO","210","210","37840","35790"
"In post","2023","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Communications","EO","40","40","29370","29000"
"In post","2023","Asian","Communications","G6/G7","30","30","[c]","[c]"
"In post","2023","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SEO/HEO","95","90","40580","41020"
"In post","2023","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA/AO","265","230","24140","25610"
"In post","2023","Asian","Counter Fraud","EO","705","665","30130","28130"
"In post","2023","Asian","Counter Fraud","G6/G7","55","55","62270","60880"
"In post","2023","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SEO/HEO","450","440","38320","39150"
"In post","2023","Asian","Debt","AA/AO","950","835","23150","22520"
"In post","2023","Asian","Debt","EO","130","120","29630","28130"
"In post","2023","Asian","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AA/AO","40","35","23170","22510"
"In post","2023","Asian","Digital, Data & Technology","EO","320","310","29170","28120"
"In post","2023","Asian","Digital, Data & Technology","G6/G7","580","575","59970","57990"
"In post","2023","Asian","Digital, Data & Technology","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","SEO/HEO","1005","990","39030","38910"
"In post","2023","Asian","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
