"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","EO","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","G6/G7","70","65","59700","56950"
"In post","2023","Asian","Analysis","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","SEO/HEO","95","90","37090","35410"
"In post","2023","Asian","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","EO","25","20","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Delivery","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Research","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Operational Research","SEO/HEO","40","40","39490","39410"
"In post","2023","Asian","Analysis","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Other","EO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Other","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Other","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Policy","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Policy","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Policy","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Science and Engineering","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Social Research","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Social Research","SEO/HEO","40","40","37780","39060"
"In post","2023","Asian","Analysis","Statistics","AA/AO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Statistics","EO","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Statistics","G6/G7","60","55","60050","58210"
"In post","2023","Asian","Analysis","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Statistics","SEO/HEO","135","135","39140","39400"
"In post","2023","Asian","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Commercial","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Commercial","EO","30","25","[c]","[c]"
"In post","2023","Asian","Commercial","Commercial","G6/G7","110","105","63630","64820"
"In post","2023","Asian","Commercial","Commercial","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Commercial","SEO/HEO","155","150","37400","35760"
"In post","2023","Asian","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Operational Delivery","EO","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Operational Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Asian","Commercial","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Project Delivery","EO","[c]","[c]","[c]","[c]"
