"Status","Year","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","95","90","23530","22520"
"In post","2023","16-19","Black","10","10","[c]","[c]"
"In post","2023","16-19","Mixed","25","25","[c]","[c]"
"In post","2023","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","590","570","22990","22500"
"In post","2023","16-19","White","715","700","23490","22520"
"In post","2023","20-29","Asian","7075","6935","30860","28380"
"In post","2023","20-29","Black","2225","2200","31860","31260"
"In post","2023","20-29","Mixed","2480","2440","32380","30410"
"In post","2023","20-29","Other ethnicity","560","555","33880","32520"
"In post","2023","20-29","Undeclared","1205","1190","33380","31710"
"In post","2023","20-29","Unknown","22000","21655","30170","28120"
"In post","2023","20-29","White","49595","48975","31660","29450"
"In post","2023","30-39","Asian","9690","9205","35930","32520"
"In post","2023","30-39","Black","3565","3445","35250","32520"
"In post","2023","30-39","Mixed","2785","2670","38740","34700"
"In post","2023","30-39","Other ethnicity","705","685","40300","35960"
"In post","2023","30-39","Undeclared","3330","3215","38330","34700"
"In post","2023","30-39","Unknown","21355","20465","35230","31290"
"In post","2023","30-39","White","74900","71500","37380","34030"
"In post","2023","40-49","Asian","9550","8830","37200","32520"
"In post","2023","40-49","Black","3920","3760","36290","32520"
"In post","2023","40-49","Mixed","2085","1975","41140","35710"
"In post","2023","40-49","Other ethnicity","650","615","41770","36310"
"In post","2023","40-49","Undeclared","4520","4310","39250","34850"
"In post","2023","40-49","Unknown","14445","13645","37410","31970"
"In post","2023","40-49","White","83205","78310","39540","34370"
"In post","2023","50-59","Asian","6405","6000","36070","31440"
"In post","2023","50-59","Black","5435","5250","36050","32520"
"In post","2023","50-59","Mixed","1730","1640","38740","33300"
"In post","2023","50-59","Other ethnicity","630","605","39740","34170"
"In post","2023","50-59","Undeclared","7170","6785","37140","32780"
"In post","2023","50-59","Unknown","13465","12675","36440","30440"
"In post","2023","50-59","White","106765","100355","37430","32520"
"In post","2023","60-64","Asian","1715","1470","33710","30200"
"In post","2023","60-64","Black","1645","1505","33570","30930"
"In post","2023","60-64","Mixed","460","395","35310","30410"
"In post","2023","60-64","Other ethnicity","200","175","38830","32530"
"In post","2023","60-64","Undeclared","2285","1895","34960","30320"
"In post","2023","60-64","Unknown","3845","3285","33510","28250"
"In post","2023","60-64","White","32835","26970","33590","28120"
"In post","2023","65+","Asian","830","645","31680","28100"
"In post","2023","65+","Black","495","420","31590","28400"
"In post","2023","65+","Mixed","155","130","33320","30140"
"In post","2023","65+","Other ethnicity","70","60","33490","29880"
"In post","2023","65+","Undeclared","740","570","34190","29730"
"In post","2023","65+","Unknown","1270","975","33130","28120"
"In post","2023","65+","White","10305","7855","32240","28120"
"In post","2023","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Black","[c]","[c]","[c]","[c]"
