"Status","Year","Ethnicity","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Female","Heterosexual / straight","345","335","43210","39150"
"In post","2023","Asian","Analysis","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Female","Undeclared","25","20","[c]","[c]"
"In post","2023","Asian","Analysis","Female","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Male","Heterosexual / straight","330","325","43890","40130"
"In post","2023","Asian","Analysis","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Male","Unknown","30","30","38100","37690"
"In post","2023","Asian","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Female","Heterosexual / straight","170","165","44290","38310"
"In post","2023","Asian","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Female","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Male","Heterosexual / straight","170","170","48160","41200"
"In post","2023","Asian","Commercial","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Female","Heterosexual / straight","105","105","40450","38650"
"In post","2023","Asian","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Male","Heterosexual / straight","50","50","42810","41430"
"In post","2023","Asian","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Female","Heterosexual / straight","615","565","32350","32260"
"In post","2023","Asian","Counter Fraud","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Female","Undeclared","35","30","30520","28130"
"In post","2023","Asian","Counter Fraud","Female","Unknown","135","115","31610","32260"
"In post","2023","Asian","Counter Fraud","Male","Heterosexual / straight","570","560","33390","32520"
"In post","2023","Asian","Counter Fraud","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Male","Undeclared","25","20","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Male","Unknown","75","75","32910","32530"
"In post","2023","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","Female","Heterosexual / straight","475","410","23940","22520"
"In post","2023","Asian","Debt","Female","LGBO","20","15","[c]","[c]"
"In post","2023","Asian","Debt","Female","Undeclared","35","30","24580","22520"
"In post","2023","Asian","Debt","Female","Unknown","110","85","24690","22520"
"In post","2023","Asian","Debt","Male","Heterosexual / straight","370","350","23790","22520"
"In post","2023","Asian","Debt","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Debt","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Debt","Male","Unknown","60","55","25120","23850"
"In post","2023","Asian","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","Female","Heterosexual / straight","655","640","43140","39690"
