"Status","Year","Ethnicity","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","AO","25","20","[c]","[c]"
"In post","2023","Asian","Analysis","EO","110","110","28710","28720"
"In post","2023","Asian","Analysis","G6","45","45","72440","69480"
"In post","2023","Asian","Analysis","G7","170","165","57490","56760"
"In post","2023","Asian","Analysis","HEO","250","245","35170","35000"
"In post","2023","Asian","Analysis","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","SEO","175","170","42860","43210"
"In post","2023","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","AO","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","EO","50","50","29120","28570"
"In post","2023","Asian","Commercial","G6","35","35","71670","68500"
"In post","2023","Asian","Commercial","G7","95","95","60520","59560"
"In post","2023","Asian","Commercial","HEO","120","120","33860","34300"
"In post","2023","Asian","Commercial","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","SEO","90","90","43250","42330"
"In post","2023","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","AO","10","10","[c]","[c]"
"In post","2023","Asian","Communications","EO","40","40","29370","29000"
"In post","2023","Asian","Communications","G6","5","5","[c]","[c]"
"In post","2023","Asian","Communications","G7","20","20","[c]","[c]"
"In post","2023","Asian","Communications","HEO","45","45","36300","35610"
"In post","2023","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SEO","50","50","44430","43700"
"In post","2023","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA","5","5","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AO","260","225","24190","25610"
"In post","2023","Asian","Counter Fraud","EO","705","665","30130","28130"
"In post","2023","Asian","Counter Fraud","G6","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","G7","45","45","60050","58380"
"In post","2023","Asian","Counter Fraud","HEO","365","355","36950","35000"
"In post","2023","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SEO","90","85","43960","42520"
"In post","2023","Asian","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","AO","950","835","23150","22520"
"In post","2023","Asian","Debt","EO","130","120","29630","28130"
"In post","2023","Asian","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","AO","35","35","23400","22520"
"In post","2023","Asian","Digital, Data & Technology","EO","320","310","29170","28120"
"In post","2023","Asian","Digital, Data & Technology","G6","120","120","70560","68730"
"In post","2023","Asian","Digital, Data & Technology","G7","460","455","57230","56430"
"In post","2023","Asian","Digital, Data & Technology","HEO","475","465","35160","34850"
"In post","2023","Asian","Digital, Data & Technology","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data & Technology","SEO","530","525","42500","42140"
"In post","2023","Asian","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AO","120","105","23460","22520"
"In post","2023","Asian","Finance","EO","225","215","28980","28130"
"In post","2023","Asian","Finance","G6","50","45","71110","70840"
"In post","2023","Asian","Finance","G7","185","185","57660","57200"
"In post","2023","Asian","Finance","HEO","310","300","35790","35300"
"In post","2023","Asian","Finance","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Finance","SEO","280","270","43750","43650"
"In post","2023","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","AO","40","40","22150","22150"
"In post","2023","Asian","Grants Management","EO","10","10","[c]","[c]"
"In post","2023","Asian","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Grants Management","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AO","60","55","23770","22520"
"In post","2023","Asian","Human Resources","EO","225","215","29000","28130"
"In post","2023","Asian","Human Resources","G6","20","20","[c]","[c]"
"In post","2023","Asian","Human Resources","G7","100","100","57120","56390"
"In post","2023","Asian","Human Resources","HEO","220","215","35670","35410"
"In post","2023","Asian","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","SEO","140","140","42400","42510"
"In post","2023","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","G6","5","5","[c]","[c]"
"In post","2023","Asian","Internal Audit","G7","20","20","[c]","[c]"
"In post","2023","Asian","Internal Audit","HEO","30","30","[c]","[c]"
"In post","2023","Asian","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","SEO","45","40","45250","44370"
"In post","2023","Asian","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","AO","255","235","23290","22870"
"In post","2023","Asian","Legal","EO","260","245","28690","28200"
"In post","2023","Asian","Legal","G6","120","110","70480","68670"
"In post","2023","Asian","Legal","G7","555","520","56230","54100"
"In post","2023","Asian","Legal","HEO","120","115","36000","35000"
"In post","2023","Asian","Legal","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Legal","SEO","85","80","40570","40800"
"In post","2023","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","No function","AA","510","445","22590","23000"
"In post","2023","Asian","No function","AO","6280","5555","23840","22520"
"In post","2023","Asian","No function","EO","7855","7255","29340","28120"
"In post","2023","Asian","No function","G6","380","365","70710","68610"
"In post","2023","Asian","No function","G7","1295","1270","57490","56340"
"In post","2023","Asian","No function","HEO","3500","3375","35520","35000"
"In post","2023","Asian","No function","SCS level","190","180","94490","89180"
"In post","2023","Asian","No function","SEO","1925","1875","43370","42910"
"In post","2023","Asian","No function","Unknown","970","905","29490","27230"
"In post","2023","Asian","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Project Delivery","AO","30","30","23590","23200"
"In post","2023","Asian","Project Delivery","EO","185","180","29210","28500"
"In post","2023","Asian","Project Delivery","G6","115","115","71280","69940"
"In post","2023","Asian","Project Delivery","G7","280","275","57490","56430"
"In post","2023","Asian","Project Delivery","HEO","410","400","35500","34970"
"In post","2023","Asian","Project Delivery","SCS level","35","35","90890","85340"
"In post","2023","Asian","Project Delivery","SEO","345","340","42430","42140"
"In post","2023","Asian","Project Delivery","Unknown","45","40","40300","38790"
"In post","2023","Asian","Property","AA","5","5","[c]","[c]"
"In post","2023","Asian","Property","AO","75","70","23770","22520"
"In post","2023","Asian","Property","EO","100","95","29380","29660"
"In post","2023","Asian","Property","G6","15","15","[c]","[c]"
"In post","2023","Asian","Property","G7","45","45","56350","56060"
"In post","2023","Asian","Property","HEO","100","95","35280","35410"
"In post","2023","Asian","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Property","SEO","75","75","44000","43760"
"In post","2023","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","AA","95","95","23090","22880"
"In post","2023","Asian","Security","AO","70","65","30330","28610"
"In post","2023","Asian","Security","EO","70","65","30010","29890"
"In post","2023","Asian","Security","G6","10","10","[c]","[c]"
"In post","2023","Asian","Security","G7","30","30","58310","56720"
"In post","2023","Asian","Security","HEO","70","65","36200","36180"
"In post","2023","Asian","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Security","SEO","45","45","44510","44450"
"In post","2023","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","AA","35","30","23490","23340"
"In post","2023","Asian","Unknown","AO","55","55","24600","25620"
"In post","2023","Asian","Unknown","EO","120","115","29580","29100"
"In post","2023","Asian","Unknown","G6","35","30","72160","70920"
"In post","2023","Asian","Unknown","G7","80","80","55400","54990"
"In post","2023","Asian","Unknown","HEO","260","255","33680","33020"
"In post","2023","Asian","Unknown","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Unknown","SEO","130","130","44450","43760"
"In post","2023","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2023","Black","Analysis","AO","10","10","[c]","[c]"
"In post","2023","Black","Analysis","EO","50","50","29330","28960"
