"Status","Year","Disability","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Female","130","120","33820","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Male","65","60","33250","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Female","270","255","29190","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Male","160","155","30820","26380"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Male","5","5","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Female","445","425","42810","39560"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Male","345","340","46460","41870"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Female","215","210","30550","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Male","105","105","30950","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Female","25","25","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Male","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Female","65","55","30520","25610"
"In post","2023","Declared disabled","Companies House","Male","40","40","33090","28070"
"In post","2023","Declared disabled","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Female","30","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Male","25","25","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Female","25","20","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Male","20","20","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Female","45","40","39020","40450"
"In post","2023","Declared disabled","Crown Commercial Service","Male","25","20","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
