"Status","Year","Function_of_post","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Female","35","35","30910","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Male","45","45","31150","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
