"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","AA/AO","Female","280","255","24230","24480"
"In post","2023","Attorney General's Departments","London","AA/AO","Male","135","135","24090","24480"
"In post","2023","Attorney General's Departments","London","EO","Female","550","520","29200","28410"
"In post","2023","Attorney General's Departments","London","EO","Male","255","250","29310","28470"
"In post","2023","Attorney General's Departments","London","G6/G7","Female","1695","1540","61320","61920"
"In post","2023","Attorney General's Departments","London","G6/G7","Male","900","875","63220","64500"
"In post","2023","Attorney General's Departments","London","SCS level","Female","165","155","88310","81650"
"In post","2023","Attorney General's Departments","London","SCS level","Male","100","100","89680","84760"
"In post","2023","Attorney General's Departments","London","SEO/HEO","Female","425","410","38000","38860"
"In post","2023","Attorney General's Departments","London","SEO/HEO","Male","320","315","38690","40000"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","Female","915","825","22930","22870"
"In post","2023","Attorney General's Departments","Outside London","AA/AO","Male","320","315","22800","22870"
"In post","2023","Attorney General's Departments","Outside London","EO","Female","905","830","28090","28200"
"In post","2023","Attorney General's Departments","Outside London","EO","Male","285","280","28190","28200"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","Female","1550","1395","56370","55230"
"In post","2023","Attorney General's Departments","Outside London","G6/G7","Male","975","940","58480","56450"
"In post","2023","Attorney General's Departments","Outside London","SCS level","Female","40","35","90580","86410"
"In post","2023","Attorney General's Departments","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","Female","585","555","36350","36780"
"In post","2023","Attorney General's Departments","Outside London","SEO/HEO","Male","300","295","36070","35550"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","AA/AO","Female","45","40","25400","25280"
"In post","2023","Cabinet Office","London","AA/AO","Male","55","55","25280","25280"
"In post","2023","Cabinet Office","London","EO","Female","215","205","28920","28370"
"In post","2023","Cabinet Office","London","EO","Male","140","140","28650","28370"
"In post","2023","Cabinet Office","London","G6/G7","Female","1120","1085","61670","58070"
"In post","2023","Cabinet Office","London","G6/G7","Male","1165","1150","62400","59620"
"In post","2023","Cabinet Office","London","SCS level","Female","240","230","96290","90000"
"In post","2023","Cabinet Office","London","SCS level","Male","285","285","108780","98450"
"In post","2023","Cabinet Office","London","SEO/HEO","Female","1345","1330","34560","32960"
"In post","2023","Cabinet Office","London","SEO/HEO","Male","970","970","35400","35240"
"In post","2023","Cabinet Office","Outside London","AA/AO","Female","200","175","21750","21720"
"In post","2023","Cabinet Office","Outside London","AA/AO","Male","140","135","21710","21720"
"In post","2023","Cabinet Office","Outside London","EO","Female","285","265","25840","26030"
"In post","2023","Cabinet Office","Outside London","EO","Male","180","180","25790","25970"
"In post","2023","Cabinet Office","Outside London","G6/G7","Female","755","730","60000","56000"
"In post","2023","Cabinet Office","Outside London","G6/G7","Male","765","760","61960","59670"
"In post","2023","Cabinet Office","Outside London","SCS level","Female","75","75","102090","94570"
"In post","2023","Cabinet Office","Outside London","SCS level","Male","115","115","105640","100200"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","Female","1090","1060","34770","33080"
"In post","2023","Cabinet Office","Outside London","SEO/HEO","Male","855","845","34860","33980"
"In post","2023","Cabinet Office","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","EO","Female","15","15","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","EO","Male","35","35","25070","24610"
"In post","2023","Cabinet Office","Unknown","G6/G7","Female","30","30","58870","56800"
"In post","2023","Cabinet Office","Unknown","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SCS level","Male","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","Female","35","35","35180","35240"
"In post","2023","Cabinet Office","Unknown","SEO/HEO","Male","30","25","[c]","[c]"
"In post","2023","Chancellor's other departments","London","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","EO","Female","20","20","[c]","[c]"
"In post","2023","Chancellor's other departments","London","EO","Male","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","London","G6/G7","Female","70","60","78620","77490"
"In post","2023","Chancellor's other departments","London","G6/G7","Male","110","105","78620","70000"
"In post","2023","Chancellor's other departments","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","London","SCS level","Male","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","London","SEO/HEO","Female","50","50","43550","44730"
"In post","2023","Chancellor's other departments","London","SEO/HEO","Male","60","60","41950","41170"
"In post","2023","Chancellor's other departments","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","EO","Male","5","5","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Chancellor's other departments","Outside London","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Charity Commission","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Charity Commission","London","AA/AO","Male","[c]","[c]","[c]","[c]"
