"Status","Year","Disability","Organisation","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
