"Status","Year","Organisation","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Scotland","Heterosexual / straight","75","65","36430","33520"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Scotland","Unknown","45","45","29280","24890"
"In post","2023","Active Travel England","Department for Transport","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Yorkshire and The Humber","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Yorkshire and The Humber","Unknown","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Heterosexual / straight","55","50","32450","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Undeclared","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Unknown","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","Heterosexual / straight","30","30","35990","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","Unknown","[c]","[c]","[c]","[c]"
