"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","AA/AO","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","EO","45","40","29390","28480"
"In post","2023","Asian","Commercial","G6/G7","120","120","63060","63550"
"In post","2023","Asian","Commercial","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","SEO/HEO","210","205","37820","36100"
"In post","2023","Asian","Commercial","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Communications","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","Communications","EO","40","40","28910","28850"
"In post","2023","Asian","Communications","G6/G7","25","25","[c]","[c]"
"In post","2023","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","SEO/HEO","95","95","40390","40260"
"In post","2023","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","AA/AO","215","185","24100","25610"
"In post","2023","Asian","Counter Fraud","EO","445","425","30040","28130"
"In post","2023","Asian","Counter Fraud","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","SEO/HEO","185","180","37890","38470"
"In post","2023","Asian","Digital, Data and Technology","AA/AO","25","25","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","EO","275","265","29150","28120"
"In post","2023","Asian","Digital, Data and Technology","G6/G7","580","575","60440","59160"
"In post","2023","Asian","Digital, Data and Technology","SCS level","20","20","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","SEO/HEO","895","885","39270","39150"
"In post","2023","Asian","Digital, Data and Technology","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Economics","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Economics","EO","30","30","27660","28720"
"In post","2023","Asian","Economics","G6/G7","80","80","60550","59160"
"In post","2023","Asian","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Economics","SEO/HEO","110","110","37490","35760"
"In post","2023","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","AA/AO","70","65","24150","24280"
"In post","2023","Asian","Finance","EO","165","160","28770","28120"
"In post","2023","Asian","Finance","G6/G7","205","205","60490","59330"
"In post","2023","Asian","Finance","SCS level","25","25","[c]","[c]"
"In post","2023","Asian","Finance","SEO/HEO","490","475","39750","39150"
"In post","2023","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","AA/AO","55","55","23990","22520"
"In post","2023","Asian","Human Resources","EO","165","155","28910","28680"
"In post","2023","Asian","Human Resources","G6/G7","115","110","60020","57970"
"In post","2023","Asian","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Human Resources","SEO/HEO","335","325","38340","38000"
"In post","2023","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","EO","120","115","29490","30040"
