"Status","Year","Disability","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","195","175","26890","25830"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","90","80","27730","28120"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","180","165","30320","28120"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","1205","1115","32370","28130"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","135","125","32870","30320"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","170","150","34070","29150"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","345","315","27190","25830"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","245","220","30260","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","120","105","27330","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","170","155","28560","28120"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","Lincolnshire CC","480","440","29890","28120"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Bedford","110","95","32430","29050"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","45","40","34610","28120"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Hertfordshire CC","360","330","34970","31560"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Luton","90","80","28880","28120"
"In post","2023","Declared disabled","East of England","East Anglia","Breckland and South Norfolk","80","75","30600","28480"
"In post","2023","Declared disabled","East of England","East Anglia","Cambridgeshire CC","400","375","33870","32920"
"In post","2023","Declared disabled","East of England","East Anglia","North and West Norfolk","140","130","30340","29470"
"In post","2023","Declared disabled","East of England","East Anglia","Norwich and East Norfolk","310","275","29850","28120"
"In post","2023","Declared disabled","East of England","East Anglia","Peterborough","240","215","29630","27400"
"In post","2023","Declared disabled","East of England","East Anglia","Suffolk CC","495","450","30120","28120"
"In post","2023","Declared disabled","East of England","Essex","Essex Haven Gateway","125","110","31600","31280"
"In post","2023","Declared disabled","East of England","Essex","Essex Thames Gateway","180","160","29420","31280"
"In post","2023","Declared disabled","East of England","Essex","Heart of Essex","145","135","33420","30320"
"In post","2023","Declared disabled","East of England","Essex","Southend-on-Sea","90","80","31150","31280"
"In post","2023","Declared disabled","East of England","Essex","Thurrock","45","40","29320","31280"
"In post","2023","Declared disabled","East of England","Essex","West Essex","65","60","31350","31280"
"In post","2023","Declared disabled","London","Inner London - East","Hackney and Newham","740","690","41670","38710"
"In post","2023","Declared disabled","London","Inner London - East","Haringey and Islington","240","230","34200","32520"
"In post","2023","Declared disabled","London","Inner London - East","Lambeth","225","215","38630","33800"
"In post","2023","Declared disabled","London","Inner London - East","Lewisham and Southwark","185","175","34180","32520"
"In post","2023","Declared disabled","London","Inner London - East","Tower Hamlets","595","575","46710","41910"
"In post","2023","Declared disabled","London","Inner London - West","Camden and City of London","190","175","34250","29660"
"In post","2023","Declared disabled","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","95","85","33290","32520"
"In post","2023","Declared disabled","London","Inner London - West","Wandsworth","115","105","33700","32520"
"In post","2023","Declared disabled","London","Inner London - West","Westminster","5385","5225","48120","43650"
"In post","2023","Declared disabled","London","Outer London - East and North East","Barking & Dagenham and Havering","120","105","33190","32520"
"In post","2023","Declared disabled","London","Outer London - East and North East","Bexley and Greenwich","200","190","33290","32520"
"In post","2023","Declared disabled","London","Outer London - East and North East","Enfield","55","50","34370","32520"
"In post","2023","Declared disabled","London","Outer London - East and North East","Redbridge and Waltham Forest","265","240","30420","30560"
"In post","2023","Declared disabled","London","Outer London - South","Bromley","120","110","33570","32520"
"In post","2023","Declared disabled","London","Outer London - South","Croydon","1060","1000","40340","36180"
"In post","2023","Declared disabled","London","Outer London - South","Merton, Kingston upon Thames and Sutton","80","75","33290","32520"
"In post","2023","Declared disabled","London","Outer London - West and North West","Barnet","135","125","37150","32520"
"In post","2023","Declared disabled","London","Outer London - West and North West","Brent","70","60","32760","32520"
"In post","2023","Declared disabled","London","Outer London - West and North West","Ealing","85","80","34380","32520"
"In post","2023","Declared disabled","London","Outer London - West and North West","Harrow and Hillingdon","345","310","32760","31230"
"In post","2023","Declared disabled","London","Outer London - West and North West","Hounslow and Richmond upon Thames","290","270","34810","32520"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","Northumberland","75","65","29630","28120"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","Sunderland","565","475","26930","24110"
"In post","2023","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","Tyneside","2245","2015","30390","28120"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","Darlington","205","195","37180","31560"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","Durham","670","595","29100","28080"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","215","195","30470","28120"
"In post","2023","Declared disabled","North East (England)","Tees Valley and Durham","South Teesside","335","290","27010","28120"
"In post","2023","Declared disabled","North West (England)","Cheshire","Cheshire East","190","175","31130","28120"
"In post","2023","Declared disabled","North West (England)","Cheshire","Cheshire West and Chester","90","80","28490","28120"
"In post","2023","Declared disabled","North West (England)","Cheshire","Warrington","270","245","33390","31760"
"In post","2023","Declared disabled","North West (England)","Cumbria","East Cumbria","160","145","30060","26550"
"In post","2023","Declared disabled","North West (England)","Cumbria","West Cumbria","200","180","28900","25920"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","Greater Manchester North East","185","165","29760","28120"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","Greater Manchester North West","375","330","27120","25700"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","Greater Manchester South East","185","170","26680","26370"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","Greater Manchester South West","1010","940","34170","29730"
"In post","2023","Declared disabled","North West (England)","Greater Manchester","Manchester","975","920","35880","32110"
"In post","2023","Declared disabled","North West (England)","Lancashire","Blackburn with Darwen","60","50","29710","28120"
"In post","2023","Declared disabled","North West (England)","Lancashire","Blackpool","955","855","29770","28120"
"In post","2023","Declared disabled","North West (England)","Lancashire","Chorley and West Lancashire","150","135","31910","30440"
"In post","2023","Declared disabled","North West (England)","Lancashire","East Lancashire","100","90","28880","28120"
"In post","2023","Declared disabled","North West (England)","Lancashire","Lancaster and Wyre","150","135","29540","27470"
"In post","2023","Declared disabled","North West (England)","Lancashire","Mid Lancashire","910","805","28330","27770"
"In post","2023","Declared disabled","North West (England)","Merseyside","East Merseyside","210","185","28530","28120"
"In post","2023","Declared disabled","North West (England)","Merseyside","Liverpool","1475","1340","31620","28120"
"In post","2023","Declared disabled","North West (England)","Merseyside","Sefton","565","515","30440","28120"
"In post","2023","Declared disabled","North West (England)","Merseyside","Wirral","465","395","26530","23390"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","15","15","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Ards and North Down","25","25","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Belfast","290","270","32860","28130"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Lisburn and Castlereagh","40","40","29580","27550"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Mid Ulster","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Overseas","Overseas","185","185","49120","44760"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","Angus and Dundee City","345","315","27570","28120"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","City of Edinburgh","1285","1215","39860","34860"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","Clackmannanshire and Fife","145","130","33370","29100"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","East Lothian and Midlothian","30","30","28990","28120"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","Falkirk","220","190","28770","28120"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","Perth and Kinross, and Stirling","140","130","33430","31940"
"In post","2023","Declared disabled","Scotland","Eastern Scotland","West Lothian","60","55","34410","28120"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","20","15","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","125","115","30500","28120"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","25","25","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","Na h-Eileanan Siar","15","10","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Highlands and Islands","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","North Eastern Scotland","Aberdeen City and Aberdeenshire","155","145","34880","29450"
"In post","2023","Declared disabled","Scotland","Southern Scotland","Dumfries and Galloway","35","30","31200","28300"
"In post","2023","Declared disabled","Scotland","Southern Scotland","East Ayrshire and North Ayrshire mainland","115","100","27910","28120"
"In post","2023","Declared disabled","Scotland","Southern Scotland","Scottish Borders","40","35","32500","27930"
"In post","2023","Declared disabled","Scotland","Southern Scotland","South Ayrshire","35","30","29090","28120"
"In post","2023","Declared disabled","Scotland","Southern Scotland","South Lanarkshire","270","235","30310","28120"
"In post","2023","Declared disabled","Scotland","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","150","140","32250","29450"
"In post","2023","Declared disabled","Scotland","West Central Scotland","Glasgow City","1775","1615","31630","28120"
"In post","2023","Declared disabled","Scotland","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","125","105","30450","28120"
"In post","2023","Declared disabled","Scotland","West Central Scotland","North Lanarkshire","210","185","27810","28120"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","360","335","34660","31280"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","220","210","33870","31830"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","235","220","32880","29050"
"In post","2023","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","305","290","34460","31920"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","Central Hampshire","590","565","39210","39400"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","Isle of Wight","145","130","29210","28120"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","North Hampshire","130","120","31110","28120"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","Portsmouth","455","415","31440","28120"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","South Hampshire","505","435","32120","28200"
"In post","2023","Declared disabled","South East (England)","Hampshire and Isle of Wight","Southampton","155","140","30730","28120"
"In post","2023","Declared disabled","South East (England)","Kent","East Kent","530","485","30570","27650"
"In post","2023","Declared disabled","South East (England)","Kent","Kent Thames Gateway","205","190","31630","31280"
"In post","2023","Declared disabled","South East (England)","Kent","Medway","180","170","32200","31280"
"In post","2023","Declared disabled","South East (England)","Kent","Mid Kent","160","150","32440","31280"
"In post","2023","Declared disabled","South East (England)","Kent","West Kent","25","25","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","Brighton and Hove","125","110","30640","28120"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","East Surrey","125","115","34120","32840"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","East Sussex CC","345","300","26970","28120"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","West Surrey","300","280","34790","31280"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","90","80","31500","28270"
"In post","2023","Declared disabled","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","190","170","32420","28130"
"In post","2023","Declared disabled","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","255","230","27880","28120"
"In post","2023","Declared disabled","South West (England)","Devon","Devon CC","790","710","31590","28120"
"In post","2023","Declared disabled","South West (England)","Devon","Plymouth","380","345","30730","28120"
"In post","2023","Declared disabled","South West (England)","Devon","Torbay","65","55","27650","28120"
