"Status","Year","Disability","Ethnicity","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","London","Heterosexual / straight","1305","1220","38240","33050"
"In post","2023","Declared disabled","Asian","London","LGBO","60","60","41970","39110"
"In post","2023","Declared disabled","Asian","London","Undeclared","100","90","35390","32520"
"In post","2023","Declared disabled","Asian","London","Unknown","90","80","36630","32520"
"In post","2023","Declared disabled","Asian","Outside London","Heterosexual / straight","1735","1580","30550","28120"
"In post","2023","Declared disabled","Asian","Outside London","LGBO","70","65","31880","28120"
"In post","2023","Declared disabled","Asian","Outside London","Undeclared","120","105","27810","28120"
"In post","2023","Declared disabled","Asian","Outside London","Unknown","135","115","27550","28080"
"In post","2023","Declared disabled","Asian","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","London","Heterosexual / straight","1215","1155","36200","32520"
"In post","2023","Declared disabled","Black","London","LGBO","55","55","41080","37190"
"In post","2023","Declared disabled","Black","London","Undeclared","90","85","35800","32520"
"In post","2023","Declared disabled","Black","London","Unknown","70","65","33860","32520"
"In post","2023","Declared disabled","Black","Outside London","Heterosexual / straight","680","625","30810","28120"
"In post","2023","Declared disabled","Black","Outside London","LGBO","40","40","32310","28120"
"In post","2023","Declared disabled","Black","Outside London","Undeclared","55","45","29500","28120"
