"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Heterosexual / straight","45","40","23840","22500"
"In post","2023","Declared disabled","Commercial","AO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Heterosexual / straight","55","55","28430","27880"
"In post","2023","Declared disabled","Commercial","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Undeclared","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6","Heterosexual / straight","50","50","76300","74010"
"In post","2023","Declared disabled","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G7","Heterosexual / straight","110","105","58590","56000"
"In post","2023","Declared disabled","Commercial","G7","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G7","Unknown","35","35","61070","56200"
"In post","2023","Declared disabled","Commercial","HEO","Heterosexual / straight","135","130","34190","34170"
"In post","2023","Declared disabled","Commercial","HEO","LGBO","15","15","[c]","[c]"
