"Status","Year","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","Female","215","210","43980","37850"
"In post","2023","Asian","Commercial","Male","195","190","48510","42760"
"In post","2023","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Female","115","115","39180","36720"
"In post","2023","Asian","Communications","Male","60","60","42190","40640"
"In post","2023","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Male","15","15","[c]","[c]"
"In post","2023","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Counter Fraud","Female","475","430","30050","28120"
"In post","2023","Asian","Counter Fraud","Male","375","370","31610","28510"
"In post","2023","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Digital, Data and Technology","Female","685","670","44260","41280"
"In post","2023","Asian","Digital, Data and Technology","Male","1115","1105","45360","41950"
"In post","2023","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Economics","Female","100","95","43300","37720"
"In post","2023","Asian","Economics","Male","145","140","46120","40900"
"In post","2023","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Finance","Female","465","440","41340","38410"
"In post","2023","Asian","Finance","Male","495","490","43250","39450"
"In post","2023","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","Female","480","455","39380","36240"
"In post","2023","Asian","Human Resources","Male","200","200","38120","35000"
"In post","2023","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Female","25","25","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Male","5","5","[c]","[c]"
"In post","2023","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Intelligence Analysis","Female","105","100","32310","30200"
"In post","2023","Asian","Intelligence Analysis","Male","90","90","35590","30670"
"In post","2023","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Internal Audit","Female","60","55","44760","43160"
"In post","2023","Asian","Internal Audit","Male","45","45","48830","44370"
"In post","2023","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","International Trade","Female","90","85","47720","42030"
"In post","2023","Asian","International Trade","Male","80","80","46900","41550"
"In post","2023","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Knowledge and Information Management","Female","95","90","36340","34170"
"In post","2023","Asian","Knowledge and Information Management","Male","45","45","38010","35000"
"In post","2023","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Legal","Female","725","670","51430","52360"
"In post","2023","Asian","Legal","Male","355","345","50470","51770"
"In post","2023","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Medicine","Female","120","105","66400","54460"
"In post","2023","Asian","Medicine","Male","55","50","90270","87220"
"In post","2023","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Delivery","Female","10650","9375","28900","28120"
"In post","2023","Asian","Operational Delivery","Male","7935","7615","29610","28120"
"In post","2023","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Operational Research","Female","40","40","46400","39860"
"In post","2023","Asian","Operational Research","Male","40","40","46390","44180"
"In post","2023","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Other","Female","635","560","31010","28120"
"In post","2023","Asian","Other","Male","390","375","30410","26400"
"In post","2023","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Female","5","5","[c]","[c]"
"In post","2023","Asian","Planning","Male","[c]","[c]","[c]","[c]"
