"Status","Year","Age","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Communications","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","AA/AO","45","45","22710","22520"
"In post","2023","16-19","Digital, Data & Technology","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs","AA/AO","10","5","22960","22520"
"In post","2023","16-19","Finance","Ministry of Defence","AA/AO","15","15","19690","19460"
"In post","2023","16-19","Finance","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Department for Environment, Food and Rural Affairs","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Departments","AA/AO","55","55","21070","20980"
"In post","2023","16-19","Legal","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","AA/AO","15","10","22920","22150"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport","AA/AO","85","75","20780","20750"
"In post","2023","16-19","No function","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions","AA/AO","35","35","21830","21690"
"In post","2023","16-19","No function","Department for Work and Pensions","EO","10","10","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs","AA/AO","95","95","22750","22520"
"In post","2023","16-19","No function","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","AA/AO","105","95","23050","22400"
"In post","2023","16-19","No function","Home Office","EO","25","25","26640","25750"
"In post","2023","16-19","No function","Ministry of Defence","AA/AO","115","115","19300","18780"
"In post","2023","16-19","No function","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice","AA/AO","310","305","26150","25480"
"In post","2023","16-19","No function","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice","Unknown","35","30","20180","19090"
"In post","2023","16-19","No function","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Government","AA/AO","20","20","23840","23700"
"In post","2023","16-19","No function","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","AA/AO","10","10","20780","21200"
"In post","2023","16-19","No function","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","Unknown","20","20","18750","18280"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Foreign, Commonwealth and Development Office","Unknown","15","15","23420","22750"
"In post","2023","16-19","Property","HM Revenue and Customs","AA/AO","15","15","22820","22520"
"In post","2023","16-19","Property","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scottish Government","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Security","Cabinet Office","EO","10","10","25160","24470"
"In post","2023","16-19","Security","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence","AA/AO","15","15","21160","19430"
"In post","2023","16-19","Unknown","Ministry of Defence","Unknown","30","30","19370","17400"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Government","AA/AO","50","50","23060","22460"
"In post","2023","16-19","Unknown","Welsh Government","AA/AO","10","10","22670","22150"
"In post","2023","20-29","Analysis","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","SEO/HEO","105","105","31270","30130"
"In post","2023","20-29","Analysis","Chancellor's other departments","EO","15","15","29750","30090"
"In post","2023","20-29","Analysis","Chancellor's other departments","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Chancellor's other departments","SEO/HEO","30","30","38760","37690"
"In post","2023","20-29","Analysis","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","G6/G7","15","15","55550","55130"
"In post","2023","20-29","Analysis","Competition and Markets Authority","SEO/HEO","20","20","34590","34110"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","EO","35","35","27790","28720"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","10","10","59100","59330"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","105","105","36940","35050"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","25","25","56140","56760"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","45","45","39620","39040"
"In post","2023","20-29","Analysis","Department for Education","EO","20","20","28490","26940"
"In post","2023","20-29","Analysis","Department for Education","G6/G7","30","30","55100","55020"
"In post","2023","20-29","Analysis","Department for Education","SEO/HEO","135","135","40400","43250"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","15","15","21470","22150"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","EO","35","35","25950","25920"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","35","35","30850","30350"
"In post","2023","20-29","Analysis","Department for International Trade","EO","20","20","29320","29280"
"In post","2023","20-29","Analysis","Department for International Trade","G6/G7","45","45","56230","55370"
"In post","2023","20-29","Analysis","Department for International Trade","SEO/HEO","65","65","36440","35010"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","40","40","55770","54630"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","60","60","35180","34310"
"In post","2023","20-29","Analysis","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport","EO","20","20","30140","30720"
"In post","2023","20-29","Analysis","Department for Transport","G6/G7","55","55","55650","55740"
"In post","2023","20-29","Analysis","Department for Transport","SEO/HEO","90","85","36310","35760"
"In post","2023","20-29","Analysis","Department for Work and Pensions","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","EO","30","30","28700","28210"
"In post","2023","20-29","Analysis","Department for Work and Pensions","G6/G7","20","20","56100","58370"
"In post","2023","20-29","Analysis","Department for Work and Pensions","SEO/HEO","165","165","37620","38130"
"In post","2023","20-29","Analysis","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care","EO","20","20","27730","27840"
"In post","2023","20-29","Analysis","Department of Health and Social Care","G6/G7","15","15","54380","54670"
"In post","2023","20-29","Analysis","Department of Health and Social Care","SEO/HEO","40","40","35240","34190"
"In post","2023","20-29","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","SEO/HEO","15","15","36570","33990"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","EO","15","15","28460","27890"
"In post","2023","20-29","Analysis","HM Revenue and Customs","G6/G7","40","40","60480","60040"
"In post","2023","20-29","Analysis","HM Revenue and Customs","SEO/HEO","265","265","39660","39450"
"In post","2023","20-29","Analysis","HM Treasury","AA/AO","10","10","23210","23210"
"In post","2023","20-29","Analysis","HM Treasury","EO","20","20","24860","24790"
"In post","2023","20-29","Analysis","HM Treasury","G6/G7","30","30","55240","54090"
"In post","2023","20-29","Analysis","HM Treasury","SEO/HEO","70","70","35620","35400"
"In post","2023","20-29","Analysis","Home Office","AA/AO","25","25","23180","23500"
"In post","2023","20-29","Analysis","Home Office","EO","25","25","30090","29890"
"In post","2023","20-29","Analysis","Home Office","G6/G7","40","40","61280","61260"
"In post","2023","20-29","Analysis","Home Office","SEO/HEO","180","180","39420","37920"
"In post","2023","20-29","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Defence","AA/AO","25","25","23660","23780"
"In post","2023","20-29","Analysis","Ministry of Defence","EO","45","45","27980","27110"
"In post","2023","20-29","Analysis","Ministry of Defence","G6/G7","25","25","52990","49260"
"In post","2023","20-29","Analysis","Ministry of Defence","SEO/HEO","340","340","35230","36210"
"In post","2023","20-29","Analysis","Ministry of Justice","EO","25","25","29220","29660"
"In post","2023","20-29","Analysis","Ministry of Justice","G6/G7","40","40","57860","55720"
"In post","2023","20-29","Analysis","Ministry of Justice","SEO/HEO","200","200","37820","35410"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","EO","15","15","27740","26870"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","30","30","35680","34570"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","EO","10","10","26160","25940"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","SEO/HEO","20","20","34210","33400"
"In post","2023","20-29","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Rail and Road","SEO/HEO","10","10","37890","39430"
"In post","2023","20-29","Analysis","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Statistics Authority","AA/AO","40","35","21280","21200"
"In post","2023","20-29","Analysis","UK Statistics Authority","EO","35","35","25180","24840"
"In post","2023","20-29","Analysis","UK Statistics Authority","G6/G7","30","30","52530","51460"
"In post","2023","20-29","Analysis","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Statistics Authority","SEO/HEO","580","575","34490","31560"
"In post","2023","20-29","Analysis","Water Services Regulation Authority","EO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Water Services Regulation Authority","SEO/HEO","15","15","41050","38000"
"In post","2023","20-29","Analysis","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Attorney General's Departments","EO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Cabinet Office","EO","20","20","26440","26410"
"In post","2023","20-29","Commercial","Cabinet Office","G6/G7","90","90","62470","65500"
"In post","2023","20-29","Commercial","Cabinet Office","SEO/HEO","150","150","32450","31640"
"In post","2023","20-29","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","20","20","35720","37420"
"In post","2023","20-29","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","10","10","34950","35040"
"In post","2023","20-29","Commercial","Department for Education","EO","10","10","26080","25900"
"In post","2023","20-29","Commercial","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Education","SEO/HEO","40","40","34990","37590"
"In post","2023","20-29","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","20","20","33640","33830"
"In post","2023","20-29","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for International Trade","SEO/HEO","15","15","36900","35010"
"In post","2023","20-29","Commercial","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Levelling Up, Housing and Communities","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Transport","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Transport","EO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Transport","G6/G7","10","10","59020","55740"
"In post","2023","20-29","Commercial","Department for Transport","SEO/HEO","50","50","36390","35400"
"In post","2023","20-29","Commercial","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department of Health and Social Care","SEO/HEO","30","30","36110","36160"
"In post","2023","20-29","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Foreign, Commonwealth and Development Office","EO","10","10","28160","28540"
"In post","2023","20-29","Commercial","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Foreign, Commonwealth and Development Office","SEO/HEO","10","10","39450","40600"
"In post","2023","20-29","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","HM Revenue and Customs","EO","10","10","27850","27770"
"In post","2023","20-29","Commercial","HM Revenue and Customs","SEO/HEO","25","25","37420","34850"
"In post","2023","20-29","Commercial","Home Office","EO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Home Office","SEO/HEO","10","10","37960","36000"
"In post","2023","20-29","Commercial","Ministry of Defence","AA/AO","85","85","23680","22220"
"In post","2023","20-29","Commercial","Ministry of Defence","EO","120","115","26940","27080"
"In post","2023","20-29","Commercial","Ministry of Defence","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Ministry of Defence","SEO/HEO","210","210","36660","34930"
"In post","2023","20-29","Commercial","Ministry of Defence","Unknown","30","30","31570","28030"
