"Status","Year","Age","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Analysis","Economics","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Legal","Operational Delivery","10","10","[c]","[c]"
"In post","2023","16-19","Asian","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Operational Delivery","30","30","23690","22520"
"In post","2023","16-19","Asian","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Tax","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","No function","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Asian","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Property","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Security","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
