"Status","Year","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","870","835","45750","40620"
"In post","2023","Declared disabled","Communications","330","320","41600","39470"
"In post","2023","Declared disabled","Corporate Finance","5","5","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","1415","1275","30310","28120"
"In post","2023","Declared disabled","Digital, Data and Technology","2255","2180","42580","38790"
"In post","2023","Declared disabled","Economics","135","130","48800","46600"
"In post","2023","Declared disabled","Finance","965","910","40780","36960"
"In post","2023","Declared disabled","Geography","20","20","[c]","[c]"
"In post","2023","Declared disabled","Human Resources","1745","1660","40360","36620"
"In post","2023","Declared disabled","Inspector of Education and Training","80","80","65450","66170"
"In post","2023","Declared disabled","Intelligence Analysis","290","275","34980","31980"
"In post","2023","Declared disabled","Internal Audit","90","85","45250","42220"
"In post","2023","Declared disabled","International Trade","145","145","46590","41550"
"In post","2023","Declared disabled","Knowledge and Information Management","330","315","34810","32520"
"In post","2023","Declared disabled","Legal","1085","1000","51750","52790"
"In post","2023","Declared disabled","Medicine","130","120","58990","47670"
"In post","2023","Declared disabled","Operational Delivery","36145","32470","29130","28120"
"In post","2023","Declared disabled","Operational Research","145","135","42720","39890"
"In post","2023","Declared disabled","Other","1915","1745","30900","28120"
"In post","2023","Declared disabled","Planning","20","20","[c]","[c]"
"In post","2023","Declared disabled","Planning Inspectors","15","15","[c]","[c]"
"In post","2023","Declared disabled","Policy","3175","3085","47370","43210"
"In post","2023","Declared disabled","Project Delivery","1900","1825","43480","40590"
"In post","2023","Declared disabled","Property","620","590","38700","34420"
"In post","2023","Declared disabled","Psychology","150","150","35500","31130"
"In post","2023","Declared disabled","Science and Engineering","1400","1350","39910","39890"
"In post","2023","Declared disabled","Security","800","775","35340","33990"
"In post","2023","Declared disabled","Social Research","160","150","42670","40180"
"In post","2023","Declared disabled","Statistics","300","285","43450","39300"
"In post","2023","Declared disabled","Tax","1530","1415","38810","35000"
"In post","2023","Declared disabled","Unknown","2595","2485","39930","34700"
"In post","2023","Declared disabled","Veterinarian","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Commercial","4795","4640","48690","42620"
"In post","2023","Declared non-disabled","Communications","2530","2425","44330","41340"
"In post","2023","Declared non-disabled","Corporate Finance","65","60","50160","44000"
"In post","2023","Declared non-disabled","Counter Fraud","6725","6190","31570","28120"
"In post","2023","Declared non-disabled","Digital, Data and Technology","14535","14140","45030","41780"
"In post","2023","Declared non-disabled","Economics","1340","1310","51180","53550"
"In post","2023","Declared non-disabled","Finance","6915","6620","43800","39790"
"In post","2023","Declared non-disabled","Geography","290","275","33800","34370"
"In post","2023","Declared non-disabled","Human Resources","8170","7820","40390","36180"
"In post","2023","Declared non-disabled","Inspector of Education and Training","940","925","67310","72470"
"In post","2023","Declared non-disabled","Intelligence Analysis","2190","2100","35040","32000"
"In post","2023","Declared non-disabled","Internal Audit","525","500","48730","46110"
"In post","2023","Declared non-disabled","International Trade","1055","1035","48830","43370"
"In post","2023","Declared non-disabled","Knowledge and Information Management","1665","1580","36600","33990"
"In post","2023","Declared non-disabled","Legal","7835","7320","53940","53750"
"In post","2023","Declared non-disabled","Medicine","1350","1200","56930","45120"
"In post","2023","Declared non-disabled","Operational Delivery","170960","156745","30260","28120"
"In post","2023","Declared non-disabled","Operational Research","600","575","48210","48570"
"In post","2023","Declared non-disabled","Other","9470","8835","34040","28120"
"In post","2023","Declared non-disabled","Planning","170","160","47220","43700"
"In post","2023","Declared non-disabled","Planning Inspectors","375","340","58250","60050"
"In post","2023","Declared non-disabled","Policy","21270","20645","50170","49400"
"In post","2023","Declared non-disabled","Project Delivery","11820","11390","46760","42510"
"In post","2023","Declared non-disabled","Property","4515","4310","39130","35020"
"In post","2023","Declared non-disabled","Psychology","1140","1100","38390","32420"
"In post","2023","Declared non-disabled","Science and Engineering","8300","8005","42170","40260"
"In post","2023","Declared non-disabled","Security","5580","5435","35140","32700"
"In post","2023","Declared non-disabled","Social Research","965","920","46790","43650"
"In post","2023","Declared non-disabled","Statistics","1860","1780","46810","43650"
"In post","2023","Declared non-disabled","Tax","10610","10070","39160","35000"
"In post","2023","Declared non-disabled","Unknown","15340","14800","43890","38330"
"In post","2023","Declared non-disabled","Veterinarian","300","285","44620","40260"
"In post","2023","Undeclared","Commercial","480","465","49520","43320"
"In post","2023","Undeclared","Communications","200","195","42870","39760"
"In post","2023","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Counter Fraud","475","445","31980","28130"
"In post","2023","Undeclared","Digital, Data and Technology","1255","1225","44450","41740"
"In post","2023","Undeclared","Economics","135","135","48310","44090"
"In post","2023","Undeclared","Finance","520","495","43710","39590"
"In post","2023","Undeclared","Geography","30","25","[c]","[c]"
"In post","2023","Undeclared","Human Resources","705","680","39060","34640"
"In post","2023","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Intelligence Analysis","255","240","35590","32790"
"In post","2023","Undeclared","Internal Audit","45","40","51110","51560"
"In post","2023","Undeclared","International Trade","60","60","51520","55370"
"In post","2023","Undeclared","Knowledge and Information Management","150","140","35130","32520"
"In post","2023","Undeclared","Legal","485","450","50320","46070"
"In post","2023","Undeclared","Medicine","180","160","83450","79590"
"In post","2023","Undeclared","Operational Delivery","15660","14325","31520","28480"
"In post","2023","Undeclared","Operational Research","40","40","49660","46000"
"In post","2023","Undeclared","Other","680","635","30980","27470"
"In post","2023","Undeclared","Planning","10","10","[c]","[c]"
"In post","2023","Undeclared","Planning Inspectors","30","25","[c]","[c]"
"In post","2023","Undeclared","Policy","1675","1635","49060","46200"
"In post","2023","Undeclared","Project Delivery","785","760","46490","42510"
"In post","2023","Undeclared","Property","470","440","39070","36110"
"In post","2023","Undeclared","Psychology","120","110","39680","32420"
"In post","2023","Undeclared","Science and Engineering","1140","1085","44350","42620"
"In post","2023","Undeclared","Security","635","620","36290","35070"
"In post","2023","Undeclared","Social Research","50","45","44530","43250"
"In post","2023","Undeclared","Statistics","115","115","46020","44000"
"In post","2023","Undeclared","Tax","835","785","41780","35110"
"In post","2023","Undeclared","Unknown","655","630","42330","36070"
"In post","2023","Undeclared","Veterinarian","40","40","45730","38670"
"In post","2023","Unknown","Commercial","1440","1405","43110","37590"
"In post","2023","Unknown","Communications","1050","1030","43560","40800"
"In post","2023","Unknown","Corporate Finance","35","30","57350","45820"
"In post","2023","Unknown","Counter Fraud","980","940","34590","32520"
"In post","2023","Unknown","Digital, Data and Technology","5115","5030","43860","40250"
"In post","2023","Unknown","Economics","550","545","44900","39110"
"In post","2023","Unknown","Finance","1825","1765","40510","36370"
"In post","2023","Unknown","Geography","135","130","31160","29710"
"In post","2023","Unknown","Human Resources","2385","2310","38260","33990"
"In post","2023","Unknown","Inspector of Education and Training","65","60","59420","52750"
"In post","2023","Unknown","Intelligence Analysis","500","490","35190","31790"
"In post","2023","Unknown","Internal Audit","105","100","44770","41890"
"In post","2023","Unknown","International Trade","895","880","49050","45040"
"In post","2023","Unknown","Knowledge and Information Management","355","345","36490","33750"
"In post","2023","Unknown","Legal","2145","2035","49120","49050"
"In post","2023","Unknown","Medicine","800","700","53440","41810"
"In post","2023","Unknown","Operational Delivery","49665","46705","28970","26630"
"In post","2023","Unknown","Operational Research","370","360","37260","35410"
"In post","2023","Unknown","Other","4170","4060","37090","34190"
"In post","2023","Unknown","Planning","30","30","48660","40390"
"In post","2023","Unknown","Planning Inspectors","55","45","55870","48660"
"In post","2023","Unknown","Policy","6895","6775","48340","43760"
"In post","2023","Unknown","Project Delivery","3625","3535","44300","41000"
"In post","2023","Unknown","Property","1340","1300","34020","30710"
"In post","2023","Unknown","Psychology","180","165","36380","31310"
"In post","2023","Unknown","Science and Engineering","2475","2420","38840","35000"
"In post","2023","Unknown","Security","2495","2455","34600","30560"
"In post","2023","Unknown","Social Research","410","400","41400","39300"
"In post","2023","Unknown","Statistics","675","660","39900","38000"
"In post","2023","Unknown","Tax","4410","4200","33980","34370"
"In post","2023","Unknown","Unknown","11680","11275","41000","34730"
"In post","2023","Unknown","Veterinarian","25","25","[c]","[c]"
"Leaver CS","2023","Declared disabled","Commercial","45","[c]","38030","36740"
"Leaver CS","2023","Declared disabled","Communications","25","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","70","[c]","28020","28120"
"Leaver CS","2023","Declared disabled","Digital, Data and Technology","160","[c]","40580","36110"
"Leaver CS","2023","Declared disabled","Economics","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Finance","75","[c]","41170","36460"
"Leaver CS","2023","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Human Resources","175","[c]","37180","32960"
"Leaver CS","2023","Declared disabled","Inspector of Education and Training","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Intelligence Analysis","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","International Trade","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Knowledge and Information Management","20","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Legal","85","[c]","53500","52790"
"Leaver CS","2023","Declared disabled","Medicine","15","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Operational Delivery","3205","[c]","27550","26910"
"Leaver CS","2023","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Other","145","[c]","27450","21690"
"Leaver CS","2023","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Policy","200","[c]","45730","40050"
"Leaver CS","2023","Declared disabled","Project Delivery","100","[c]","41250","40550"
"Leaver CS","2023","Declared disabled","Property","35","[c]","[c]","[c]"
