"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","London","Heterosexual / straight","165","160","49410","43650"
"In post","2023","Asian","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","London","Unknown","30","30","56380","56000"
"In post","2023","Asian","Commercial","Outside London","Heterosexual / straight","170","165","40380","34400"
"In post","2023","Asian","Commercial","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","Heterosexual / straight","115","115","41730","39000"
"In post","2023","Asian","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","Heterosexual / straight","40","40","35310","32580"
"In post","2023","Asian","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
