"Status","Year","Age","Disability","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","Female","20","20","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","Male","15","15","[c]","[c]"
"In post","2023","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","Female","30","25","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Asian","Male","45","40","23630","22520"
"In post","2023","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Female","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Female","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Male","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","White","Female","285","280","23750","22520"
"In post","2023","16-19","Declared non-disabled","White","Male","245","245","23870","23230"
"In post","2023","16-19","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Mixed","Male","[c]","[c]","[c]","[c]"
