"Status","Year","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","410","400","46120","39460"
"In post","2023","Asian","Communications","175","170","40180","38370"
"In post","2023","Asian","Corporate Finance","25","25","[c]","[c]"
"In post","2023","Asian","Counter Fraud","855","795","30730","28130"
"In post","2023","Asian","Digital, Data and Technology","1800","1775","44950","41780"
"In post","2023","Asian","Economics","240","240","44960","39570"
"In post","2023","Asian","Finance","960","935","42330","39110"
"In post","2023","Asian","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Human Resources","680","655","39010","36180"
"In post","2023","Asian","Inspector of Education and Training","30","30","63550","59460"
"In post","2023","Asian","Intelligence Analysis","200","190","33810","30200"
"In post","2023","Asian","Internal Audit","105","100","46560","43160"
"In post","2023","Asian","International Trade","165","165","47340","41750"
"In post","2023","Asian","Knowledge and Information Management","140","135","36870","34300"
"In post","2023","Asian","Legal","1080","1020","51110","52020"
"In post","2023","Asian","Medicine","170","155","73750","77010"
"In post","2023","Asian","Operational Delivery","18590","16990","29200","28120"
"In post","2023","Asian","Operational Research","80","80","46390","42870"
"In post","2023","Asian","Other","1025","935","30780","27780"
"In post","2023","Asian","Planning","10","10","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","10","10","[c]","[c]"
"In post","2023","Asian","Policy","2420","2370","46140","41950"
"In post","2023","Asian","Project Delivery","1205","1180","43830","41000"
"In post","2023","Asian","Property","310","300","37250","33570"
"In post","2023","Asian","Psychology","50","50","37910","32420"
"In post","2023","Asian","Science and Engineering","585","570","40110","39350"
"In post","2023","Asian","Security","360","350","33870","30880"
"In post","2023","Asian","Social Research","65","65","43600","39770"
"In post","2023","Asian","Statistics","240","230","43160","41030"
"In post","2023","Asian","Tax","1835","1755","35970","34700"
"In post","2023","Asian","Unknown","1530","1485","39220","34700"
"In post","2023","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","245","240","43890","39150"
"In post","2023","Black","Communications","100","95","40960","38330"
"In post","2023","Black","Corporate Finance","5","5","[c]","[c]"
"In post","2023","Black","Counter Fraud","460","430","31280","32520"
"In post","2023","Black","Digital, Data and Technology","785","780","41980","39790"
"In post","2023","Black","Economics","60","60","42810","39110"
"In post","2023","Black","Finance","415","405","41340","39150"
"In post","2023","Black","Geography","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","385","375","40650","36680"
"In post","2023","Black","Inspector of Education and Training","40","40","59310","52750"
"In post","2023","Black","Intelligence Analysis","55","50","33650","31950"
"In post","2023","Black","Internal Audit","25","25","[c]","[c]"
"In post","2023","Black","International Trade","80","75","44600","41550"
"In post","2023","Black","Knowledge and Information Management","75","75","34730","32520"
"In post","2023","Black","Legal","500","490","50040","52020"
"In post","2023","Black","Medicine","55","50","72450","57360"
"In post","2023","Black","Operational Delivery","9890","9340","30700","29660"
"In post","2023","Black","Operational Research","20","20","[c]","[c]"
"In post","2023","Black","Other","335","325","31280","29980"
"In post","2023","Black","Planning","5","5","[c]","[c]"
"In post","2023","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2023","Black","Policy","1220","1205","42910","40050"
"In post","2023","Black","Project Delivery","680","670","43360","40330"
"In post","2023","Black","Property","155","145","38330","36000"
"In post","2023","Black","Psychology","25","25","[c]","[c]"
"In post","2023","Black","Science and Engineering","220","215","39730","37620"
"In post","2023","Black","Security","150","150","35280","32130"
"In post","2023","Black","Social Research","35","30","43230","39300"
"In post","2023","Black","Statistics","75","75","40260","39040"
"In post","2023","Black","Tax","550","540","35440","34700"
