"Status","Year","Disability","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","AA/AO","Female","Heterosexual / straight","7420","6215","22980","22150"
"In post","2023","Declared disabled","AA/AO","Female","LGBO","730","685","24170","22520"
"In post","2023","Declared disabled","AA/AO","Female","Undeclared","1085","890","22760","21780"
"In post","2023","Declared disabled","AA/AO","Female","Unknown","740","595","22960","22400"
"In post","2023","Declared disabled","AA/AO","Male","Heterosexual / straight","4895","4570","24300","22500"
"In post","2023","Declared disabled","AA/AO","Male","LGBO","630","600","23880","22220"
"In post","2023","Declared disabled","AA/AO","Male","Undeclared","690","640","24320","22210"
"In post","2023","Declared disabled","AA/AO","Male","Unknown","505","455","24420","22520"
"In post","2023","Declared disabled","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Female","Heterosexual / straight","8305","7305","28670","28120"
"In post","2023","Declared disabled","EO","Female","LGBO","805","765","28510","28120"
"In post","2023","Declared disabled","EO","Female","Undeclared","1035","895","28710","28120"
"In post","2023","Declared disabled","EO","Female","Unknown","705","600","29250","28120"
"In post","2023","Declared disabled","EO","Male","Heterosexual / straight","4410","4170","29250","28120"
"In post","2023","Declared disabled","EO","Male","LGBO","640","620","28660","28120"
"In post","2023","Declared disabled","EO","Male","Undeclared","700","650","29120","28120"
"In post","2023","Declared disabled","EO","Male","Unknown","420","385","30620","28130"
"In post","2023","Declared disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6/G7","Female","Heterosexual / straight","2790","2660","59540","57710"
"In post","2023","Declared disabled","G6/G7","Female","LGBO","345","335","58020","55820"
"In post","2023","Declared disabled","G6/G7","Female","Undeclared","290","280","59940","57230"
"In post","2023","Declared disabled","G6/G7","Female","Unknown","190","175","60360","58850"
"In post","2023","Declared disabled","G6/G7","Male","Heterosexual / straight","2090","2030","60430","58360"
"In post","2023","Declared disabled","G6/G7","Male","LGBO","370","360","59760","57970"
"In post","2023","Declared disabled","G6/G7","Male","Undeclared","280","270","61260","59000"
"In post","2023","Declared disabled","G6/G7","Male","Unknown","240","235","59960","59290"
"In post","2023","Declared disabled","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Female","Heterosexual / straight","230","215","89570","82060"
"In post","2023","Declared disabled","SCS level","Female","LGBO","30","30","87050","80020"
"In post","2023","Declared disabled","SCS level","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Male","Heterosexual / straight","210","205","95970","85200"
"In post","2023","Declared disabled","SCS level","Male","LGBO","30","30","90520","83050"
"In post","2023","Declared disabled","SCS level","Male","Undeclared","20","15","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO/HEO","Female","Heterosexual / straight","6705","6310","37790","36990"
"In post","2023","Declared disabled","SEO/HEO","Female","LGBO","950","920","37220","35940"
"In post","2023","Declared disabled","SEO/HEO","Female","Undeclared","765","725","37910","37300"
"In post","2023","Declared disabled","SEO/HEO","Female","Unknown","520","495","35470","34700"
"In post","2023","Declared disabled","SEO/HEO","Male","Heterosexual / straight","4850","4695","38750","38020"
"In post","2023","Declared disabled","SEO/HEO","Male","LGBO","745","735","37740","37020"
"In post","2023","Declared disabled","SEO/HEO","Male","Undeclared","655","630","38570","37680"
"In post","2023","Declared disabled","SEO/HEO","Male","Unknown","440","420","37790","37470"
"In post","2023","Declared disabled","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Female","Heterosexual / straight","2660","2455","31180","29050"
"In post","2023","Declared disabled","Unknown","Female","LGBO","330","315","29960","28580"
"In post","2023","Declared disabled","Unknown","Female","Undeclared","210","190","33300","32050"
"In post","2023","Declared disabled","Unknown","Female","Unknown","40","35","33550","29120"
"In post","2023","Declared disabled","Unknown","Male","Heterosexual / straight","810","770","33310","29050"
"In post","2023","Declared disabled","Unknown","Male","LGBO","115","110","30650","29050"
"In post","2023","Declared disabled","Unknown","Male","Undeclared","120","115","34960","35030"
"In post","2023","Declared disabled","Unknown","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA/AO","Female","Heterosexual / straight","35895","31070","23490","22500"
"In post","2023","Declared non-disabled","AA/AO","Female","LGBO","2090","1990","25450","23230"
"In post","2023","Declared non-disabled","AA/AO","Female","Undeclared","3560","2970","23090","22400"
"In post","2023","Declared non-disabled","AA/AO","Female","Unknown","4890","3775","22920","21730"
"In post","2023","Declared non-disabled","AA/AO","Male","Heterosexual / straight","28135","27125","25550","22520"
"In post","2023","Declared non-disabled","AA/AO","Male","LGBO","1500","1450","24170","22520"
"In post","2023","Declared non-disabled","AA/AO","Male","Undeclared","2105","1985","24430","22500"
"In post","2023","Declared non-disabled","AA/AO","Male","Unknown","2810","2595","24850","22520"
"In post","2023","Declared non-disabled","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Female","Heterosexual / straight","36235","32620","28610","28120"
"In post","2023","Declared non-disabled","EO","Female","LGBO","1555","1495","29000","28120"
"In post","2023","Declared non-disabled","EO","Female","Undeclared","3190","2795","28690","28120"
"In post","2023","Declared non-disabled","EO","Female","Unknown","4880","4050","28940","28120"
"In post","2023","Declared non-disabled","EO","Male","Heterosexual / straight","25950","25105","29240","28120"
"In post","2023","Declared non-disabled","EO","Male","LGBO","1610","1575","28610","28120"
"In post","2023","Declared non-disabled","EO","Male","Undeclared","2550","2395","29150","28120"
"In post","2023","Declared non-disabled","EO","Male","Unknown","2775","2600","29550","28120"
"In post","2023","Declared non-disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6/G7","Female","Heterosexual / straight","20930","19860","60290","57970"
"In post","2023","Declared non-disabled","G6/G7","Female","LGBO","980","955","59770","56880"
"In post","2023","Declared non-disabled","G6/G7","Female","Undeclared","1415","1345","60870","58940"
"In post","2023","Declared non-disabled","G6/G7","Female","Unknown","1410","1300","60970","59340"
"In post","2023","Declared non-disabled","G6/G7","Male","Heterosexual / straight","20840","20430","61160","59290"
"In post","2023","Declared non-disabled","G6/G7","Male","LGBO","1545","1525","60650","58440"
"In post","2023","Declared non-disabled","G6/G7","Male","Undeclared","1595","1550","61580","59340"
"In post","2023","Declared non-disabled","G6/G7","Male","Unknown","1500","1445","61840","60220"
"In post","2023","Declared non-disabled","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","SCS level","Female","Heterosexual / straight","2100","2000","89310","81890"
"In post","2023","Declared non-disabled","SCS level","Female","LGBO","90","90","87120","78930"
"In post","2023","Declared non-disabled","SCS level","Female","Undeclared","120","110","86420","80560"
"In post","2023","Declared non-disabled","SCS level","Female","Unknown","115","110","89750","82680"
"In post","2023","Declared non-disabled","SCS level","Male","Heterosexual / straight","2195","2160","93490","85200"
"In post","2023","Declared non-disabled","SCS level","Male","LGBO","205","205","88780","81600"
"In post","2023","Declared non-disabled","SCS level","Male","Undeclared","120","120","96110","87220"
"In post","2023","Declared non-disabled","SCS level","Male","Unknown","150","145","93020","85200"
"In post","2023","Declared non-disabled","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","SEO/HEO","Female","Heterosexual / straight","41680","39440","38150","37590"
"In post","2023","Declared non-disabled","SEO/HEO","Female","LGBO","2090","2040","38000","37300"
"In post","2023","Declared non-disabled","SEO/HEO","Female","Undeclared","3160","2970","38750","38330"
"In post","2023","Declared non-disabled","SEO/HEO","Female","Unknown","2640","2460","38210","37590"
"In post","2023","Declared non-disabled","SEO/HEO","Male","Heterosexual / straight","36655","35890","39100","38470"
"In post","2023","Declared non-disabled","SEO/HEO","Male","LGBO","2325","2300","38010","37360"
