"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","EO","Heterosexual / straight","60","60","28300","28100"
"In post","2023","Declared disabled","Analysis","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G6/G7","Heterosexual / straight","215","205","58940","57970"
"In post","2023","Declared disabled","Analysis","G6/G7","LGBO","45","40","55170","52030"
"In post","2023","Declared disabled","Analysis","G6/G7","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G6/G7","Unknown","35","30","56260","51060"
"In post","2023","Declared disabled","Analysis","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SEO/HEO","Heterosexual / straight","380","360","37900","38470"
"In post","2023","Declared disabled","Analysis","SEO/HEO","LGBO","105","105","36780","36310"
"In post","2023","Declared disabled","Analysis","SEO/HEO","Undeclared","50","50","36970","36240"
"In post","2023","Declared disabled","Analysis","SEO/HEO","Unknown","45","45","35730","36940"
"In post","2023","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Heterosexual / straight","35","30","23950","23140"
"In post","2023","Declared disabled","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Heterosexual / straight","50","45","27500","27140"
"In post","2023","Declared disabled","Commercial","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6/G7","Heterosexual / straight","160","155","63250","61690"
"In post","2023","Declared disabled","Commercial","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6/G7","Unknown","50","50","65320","65500"
"In post","2023","Declared disabled","Commercial","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Heterosexual / straight","260","250","38470","38940"
"In post","2023","Declared disabled","Commercial","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO/HEO","Undeclared","35","35","39850","41520"
