"Status","Year","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","70","65","40890","36990"
"In post","2023","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Birmingham","100","95","42940","37680"
"In post","2023","Analysis","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Brighton and Hove","5","5","[c]","[c]"
"In post","2023","Analysis","Bristol, City of","220","210","41980","40650"
"In post","2023","Analysis","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Buckinghamshire","10","10","37300","36470"
"In post","2023","Analysis","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cambridgeshire CC","15","10","42650","40480"
"In post","2023","Analysis","Camden and City of London","180","165","71410","67430"
"In post","2023","Analysis","Cardiff and Vale of Glamorgan","40","40","43040","37680"
"In post","2023","Analysis","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Hampshire","555","535","45190","49260"
"In post","2023","Analysis","Central Valleys","5","5","[c]","[c]"
"In post","2023","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","City of Edinburgh","60","60","49490","43000"
"In post","2023","Analysis","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","10","10","30100","30330"
"In post","2023","Analysis","Coventry","30","30","43440","41510"
"In post","2023","Analysis","Croydon","175","165","47050","43210"
"In post","2023","Analysis","Darlington","165","160","37810","33790"
"In post","2023","Analysis","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Devon CC","15","15","35640","34170"
"In post","2023","Analysis","Dorset","140","135","35010","30350"
"In post","2023","Analysis","Dudley","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Cumbria","15","15","35200","37300"
"In post","2023","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Kent","5","5","[c]","[c]"
"In post","2023","Analysis","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Merseyside","5","5","[c]","[c]"
"In post","2023","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Sussex CC","5","5","[c]","[c]"
"In post","2023","Analysis","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Glasgow City","95","90","41210","35400"
"In post","2023","Analysis","Gloucestershire CC","5","5","[c]","[c]"
"In post","2023","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Greater Manchester South West","235","230","43270","41780"
"In post","2023","Analysis","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Hackney and Newham","205","200","49250","45560"
"In post","2023","Analysis","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Hertfordshire CC","15","15","50080","45750"
"In post","2023","Analysis","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Leeds","250","240","41620","38470"
"In post","2023","Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Lincolnshire CC","5","5","[c]","[c]"
"In post","2023","Analysis","Liverpool","150","145","43460","41780"
"In post","2023","Analysis","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Manchester","175","170","38940","35880"
"In post","2023","Analysis","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Merton, Kingston upon Thames and Sutton","5","5","[c]","[c]"
"In post","2023","Analysis","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Mid Lancashire","10","10","[c]","[c]"
"In post","2023","Analysis","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Monmouthshire and Newport","1100","1060","38970","37760"
"In post","2023","Analysis","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North Yorkshire CC","10","10","[c]","[c]"
"In post","2023","Analysis","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Nottingham","70","65","41570","39300"
"In post","2023","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Oxfordshire CC","5","5","[c]","[c]"
"In post","2023","Analysis","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Plymouth","20","20","35130","31760"
"In post","2023","Analysis","Portsmouth","30","30","37970","34300"
"In post","2023","Analysis","Powys","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Sandwell","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Sefton","45","40","40930","38800"
"In post","2023","Analysis","Sheffield","355","330","45410","43250"
"In post","2023","Analysis","Shropshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Solihull","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South Hampshire","530","505","39750","37760"
"In post","2023","Analysis","South Lanarkshire","10","5","[c]","[c]"
"In post","2023","Analysis","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South West Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","South and West Derbyshire","30","30","42330","40820"
"In post","2023","Analysis","Southampton","[c]","[c]","[c]","[c]"
