"Status","Year","Organisation","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scotland","Heterosexual / straight","75","65","36430","33520"
"In post","2023","Accountant in Bankruptcy","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scotland","Unknown","45","45","29280","24890"
"In post","2023","Active Travel England","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Heterosexual / straight","25","20","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Yorkshire and The Humber","Unknown","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Heterosexual / straight","55","50","32450","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Undeclared","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Unknown","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Heterosexual / straight","30","30","35990","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","125","120","44180","39360"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","LGBO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Undeclared","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","London","Unknown","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Heterosexual / straight","95","90","31600","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","LGBO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Undeclared","15","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North East (England)","Unknown","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Heterosexual / straight","105","95","33490","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","LGBO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Undeclared","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North West (England)","Unknown","25","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Heterosexual / straight","75","65","33920","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Undeclared","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Scotland","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Heterosexual / straight","40","35","35250","33440"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Heterosexual / straight","60","55","33000","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","LGBO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wales","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Heterosexual / straight","50","45","33990","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
