"Status","Year","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Female","4095","3910","44830","40090"
"In post","2023","Commercial","Male","3490","3435","50300","43200"
"In post","2023","Communications","Female","2485","2360","43590","40850"
"In post","2023","Communications","Male","1625","1610","44230","41020"
"In post","2023","Corporate Finance","Female","50","45","45070","42750"
"In post","2023","Corporate Finance","Male","55","55","59840","53370"
"In post","2023","Counter Fraud","Female","5385","4835","30650","28120"
"In post","2023","Counter Fraud","Male","4210","4015","33090","29730"
"In post","2023","Digital, Data and Technology","Female","8130","7775","43590","40000"
"In post","2023","Digital, Data and Technology","Male","15025","14800","44990","41630"
"In post","2023","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Economics","Female","805","775","48550","44540"
"In post","2023","Economics","Male","1355","1345","49670","46600"
"In post","2023","Finance","Female","5595","5255","41240","37680"
"In post","2023","Finance","Male","4625","4540","44970","41360"
"In post","2023","Geography","Female","165","150","32680","34370"
"In post","2023","Geography","Male","310","300","33160","34370"
"In post","2023","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Human Resources","Female","8255","7810","40190","36310"
"In post","2023","Human Resources","Male","4750","4660","39460","34670"
"In post","2023","Inspector of Education and Training","Female","795","775","63920","52750"
"In post","2023","Inspector of Education and Training","Male","295","295","74000","77470"
"In post","2023","Intelligence Analysis","Female","1470","1380","33230","30040"
"In post","2023","Intelligence Analysis","Male","1765","1725","36670","33830"
"In post","2023","Internal Audit","Female","405","380","46030","43470"
"In post","2023","Internal Audit","Male","360","345","50030","47050"
"In post","2023","International Trade","Female","1020","995","47720","42620"
"In post","2023","International Trade","Male","1135","1125","49850","45190"
"In post","2023","Knowledge and Information Management","Female","1395","1310","34990","32520"
"In post","2023","Knowledge and Information Management","Male","1105","1075","37860","34170"
"In post","2023","Legal","Female","7100","6485","52770","52790"
"In post","2023","Legal","Male","4450","4320","52560","52360"
"In post","2023","Medicine","Female","1760","1545","53480","41660"
"In post","2023","Medicine","Male","700","635","68830","63900"
"In post","2023","Operational Delivery","Female","160015","142630","29130","28080"
"In post","2023","Operational Delivery","Male","112415","107610","31110","28130"
"In post","2023","Operational Research","Female","495","470","42790","39890"
"In post","2023","Operational Research","Male","660","645","45090","43650"
"In post","2023","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other","Female","8080","7325","33130","28120"
"In post","2023","Other","Male","8155","7955","35510","30140"
"In post","2023","Planning","Female","115","105","43980","39690"
"In post","2023","Planning","Male","120","115","48320","44180"
"In post","2023","Planning Inspectors","Female","185","165","56520","60050"
"In post","2023","Planning Inspectors","Male","285","260","59410","60050"
"In post","2023","Policy","Female","17935","17240","48490","44450"
"In post","2023","Policy","Male","15080","14900","50610","49960"
"In post","2023","Project Delivery","Female","9595","9130","44210","41180"
"In post","2023","Project Delivery","Male","8530","8380","47830","42980"
"In post","2023","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Property","Female","2875","2680","36520","33990"
"In post","2023","Property","Male","4070","3960","39220","35250"
"In post","2023","Psychology","Female","1380","1320","37980","32420"
"In post","2023","Psychology","Male","210","205","38000","31670"
"In post","2023","Science and Engineering","Female","4060","3835","40580","39350"
"In post","2023","Science and Engineering","Male","9255","9025","41900","40290"
"In post","2023","Security","Female","2290","2195","35820","34070"
"In post","2023","Security","Male","7220","7085","34860","31060"
"In post","2023","Social Research","Female","1130","1070","44520","41700"
"In post","2023","Social Research","Male","450","445","45920","41700"
"In post","2023","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Statistics","Female","1360","1280","44980","41800"
"In post","2023","Statistics","Male","1580","1550","44780","41200"
"In post","2023","Statistics","Unknown","5","5","[c]","[c]"
"In post","2023","Tax","Female","8235","7605","36810","34700"
"In post","2023","Tax","Male","9155","8860","38960","35000"
"In post","2023","Unknown","Female","16820","15960","41810","35400"
"In post","2023","Unknown","Male","13445","13230","43140","37900"
"In post","2023","Veterinarian","Female","225","210","43840","38760"
"In post","2023","Veterinarian","Male","170","165","45740","44500"
"Leaver CS","2023","Commercial","Female","210","[c]","37380","34020"
"Leaver CS","2023","Commercial","Male","210","[c]","42340","39380"
"Leaver CS","2023","Communications","Female","240","[c]","42050","39800"
"Leaver CS","2023","Communications","Male","155","[c]","41750","38640"
"Leaver CS","2023","Corporate Finance","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Corporate Finance","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Counter Fraud","Female","250","[c]","28620","28120"
"Leaver CS","2023","Counter Fraud","Male","240","[c]","31380","28120"
"Leaver CS","2023","Digital, Data and Technology","Female","605","[c]","43670","40410"
"Leaver CS","2023","Digital, Data and Technology","Male","1320","[c]","44120","40100"
"Leaver CS","2023","Economics","Female","70","[c]","38900","33570"
"Leaver CS","2023","Economics","Male","145","[c]","35950","32320"
"Leaver CS","2023","Finance","Female","370","[c]","39180","34290"
"Leaver CS","2023","Finance","Male","405","[c]","43230","39420"
"Leaver CS","2023","Geography","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Geography","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Human Resources","Female","825","[c]","34290","28220"
"Leaver CS","2023","Human Resources","Male","515","[c]","35790","32660"
"Leaver CS","2023","Inspector of Education and Training","Female","95","[c]","66150","66170"
"Leaver CS","2023","Inspector of Education and Training","Male","45","[c]","71970","77470"
"Leaver CS","2023","Intelligence Analysis","Female","65","[c]","33140","30350"
"Leaver CS","2023","Intelligence Analysis","Male","115","[c]","33780","32000"
"Leaver CS","2023","Internal Audit","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","Internal Audit","Male","40","[c]","46910","43300"
"Leaver CS","2023","International Trade","Female","45","[c]","46800","40230"
"Leaver CS","2023","International Trade","Male","65","[c]","45070","40300"
"Leaver CS","2023","Knowledge and Information Management","Female","60","[c]","32110","29500"
"Leaver CS","2023","Knowledge and Information Management","Male","40","[c]","35560","32270"
"Leaver CS","2023","Legal","Female","495","[c]","51030","52020"
"Leaver CS","2023","Legal","Male","365","[c]","56080","55720"
"Leaver CS","2023","Medicine","Female","265","[c]","49460","40590"
"Leaver CS","2023","Medicine","Male","110","[c]","63590","53620"
"Leaver CS","2023","Operational Delivery","Female","14795","[c]","27630","25880"
"Leaver CS","2023","Operational Delivery","Male","10925","[c]","30070","27450"
"Leaver CS","2023","Operational Research","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Operational Research","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Other","Female","680","[c]","30320","25090"
"Leaver CS","2023","Other","Male","805","[c]","33030","27470"
"Leaver CS","2023","Planning","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Planning","Male","10","[c]","[c]","[c]"
