"Status","Year","Function_of_post","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Operational Research","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Statistics","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Female","55","55","31030","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Statistics","Male","55","55","31200","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","Female","25","20","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Other","Male","20","20","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Female","220","205","33370","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Male","230","225","37740","37300"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Female","40","35","66820","60410"
"In post","2023","Analysis","Competition and Markets Authority","Economics","Male","65","65","63340","57660"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
