"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","AA/AO","135","125","22310","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","EO","100","90","27620","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","G6/G7","215","195","54620","53750"
"In post","2023","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","SEO/HEO","70","70","35230","35000"
"In post","2023","Attorney General's Departments","East of England","AA/AO","130","115","23550","24480"
"In post","2023","Attorney General's Departments","East of England","EO","115","105","28960","28850"
"In post","2023","Attorney General's Departments","East of England","G6/G7","225","205","60010","59200"
"In post","2023","Attorney General's Departments","East of England","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","SEO/HEO","80","75","37420","38760"
"In post","2023","Attorney General's Departments","London","AA/AO","415","390","24180","24480"
"In post","2023","Attorney General's Departments","London","EO","805","770","29240","28410"
"In post","2023","Attorney General's Departments","London","G6/G7","2595","2420","61980","63120"
"In post","2023","Attorney General's Departments","London","SCS level","265","255","88840","82560"
"In post","2023","Attorney General's Departments","London","SEO/HEO","745","730","38300","38860"
"In post","2023","Attorney General's Departments","North East (England)","AA/AO","95","85","22310","22870"
"In post","2023","Attorney General's Departments","North East (England)","EO","80","75","27890","27150"
"In post","2023","Attorney General's Departments","North East (England)","G6/G7","150","145","56180","56450"
"In post","2023","Attorney General's Departments","North East (England)","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","SEO/HEO","60","60","35620","35000"
"In post","2023","Attorney General's Departments","North West (England)","AA/AO","235","220","22670","22870"
"In post","2023","Attorney General's Departments","North West (England)","EO","235","220","27980","28850"
"In post","2023","Attorney General's Departments","North West (England)","G6/G7","455","425","56170","56450"
"In post","2023","Attorney General's Departments","North West (England)","SCS level","10","10","91000","86030"
"In post","2023","Attorney General's Departments","North West (England)","SEO/HEO","150","150","35820","35000"
"In post","2023","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","AA/AO","175","170","23920","24480"
"In post","2023","Attorney General's Departments","South East (England)","EO","170","160","29080","28200"
"In post","2023","Attorney General's Departments","South East (England)","G6/G7","325","300","60980","59280"
"In post","2023","Attorney General's Departments","South East (England)","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","SEO/HEO","110","105","37680","37860"
"In post","2023","Attorney General's Departments","South West (England)","AA/AO","70","65","22350","22870"
"In post","2023","Attorney General's Departments","South West (England)","EO","75","70","27950","27400"
"In post","2023","Attorney General's Departments","South West (England)","G6/G7","215","195","56460","55470"
