"Status","Year","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","155","145","34880","29450"
"In post","2023","Declared disabled","Angus and Dundee City","345","315","27570","28120"
"In post","2023","Declared disabled","Antrim and Newtownabbey","15","15","[c]","[c]"
"In post","2023","Declared disabled","Ards and North Down","25","25","[c]","[c]"
"In post","2023","Declared disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Barking & Dagenham and Havering","120","105","33190","32520"
"In post","2023","Declared disabled","Barnet","135","125","37150","32520"
"In post","2023","Declared disabled","Barnsley, Doncaster and Rotherham","485","420","28750","28120"
"In post","2023","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","1530","1455","38940","35000"
"In post","2023","Declared disabled","Bedford","110","95","32430","29050"
"In post","2023","Declared disabled","Belfast","290","270","32860","28130"
"In post","2023","Declared disabled","Berkshire","360","335","34660","31280"
"In post","2023","Declared disabled","Bexley and Greenwich","200","190","33290","32520"
"In post","2023","Declared disabled","Birmingham","1655","1515","31880","28120"
"In post","2023","Declared disabled","Blackburn with Darwen","60","50","29710","28120"
"In post","2023","Declared disabled","Blackpool","955","855","29770","28120"
"In post","2023","Declared disabled","Bournemouth, Christchurch and Poole","145","125","27490","28120"
"In post","2023","Declared disabled","Bradford","370","320","27320","24570"
"In post","2023","Declared disabled","Breckland and South Norfolk","80","75","30600","28480"
"In post","2023","Declared disabled","Brent","70","60","32760","32520"
"In post","2023","Declared disabled","Bridgend and Neath Port Talbot","120","105","28420","28120"
"In post","2023","Declared disabled","Brighton and Hove","125","110","30640","28120"
"In post","2023","Declared disabled","Bristol, City of","855","795","34980","30320"
"In post","2023","Declared disabled","Bromley","120","110","33570","32520"
"In post","2023","Declared disabled","Buckinghamshire","220","210","33870","31830"
"In post","2023","Declared disabled","Caithness and Sutherland, and Ross and Cromarty","20","15","[c]","[c]"
"In post","2023","Declared disabled","Calderdale and Kirklees","225","205","29660","28120"
"In post","2023","Declared disabled","Cambridgeshire CC","400","375","33870","32920"
"In post","2023","Declared disabled","Camden and City of London","190","175","34250","29660"
"In post","2023","Declared disabled","Cardiff and Vale of Glamorgan","1175","1085","34770","30440"
"In post","2023","Declared disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Central Bedfordshire","45","40","34610","28120"
"In post","2023","Declared disabled","Central Hampshire","590","565","39210","39400"
"In post","2023","Declared disabled","Central Valleys","460","425","29110","28120"
"In post","2023","Declared disabled","Cheshire East","190","175","31130","28120"
"In post","2023","Declared disabled","Cheshire West and Chester","90","80","28490","28120"
"In post","2023","Declared disabled","Chorley and West Lancashire","150","135","31910","30440"
"In post","2023","Declared disabled","City of Edinburgh","1285","1215","39860","34860"
"In post","2023","Declared disabled","Clackmannanshire and Fife","145","130","33370","29100"
"In post","2023","Declared disabled","Conwy and Denbighshire","85","85","31240","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","255","230","27880","28120"
"In post","2023","Declared disabled","Coventry","300","275","35050","31200"
"In post","2023","Declared disabled","Croydon","1060","1000","40340","36180"
