"Status","Year","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","London","4420","4300","50180","45560"
"In post","2023","Analysis","Outside London","5895","5655","41070","39190"
"In post","2023","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","5","5","[c]","[c]"
"In post","2023","Commercial","London","1810","1785","58430","56000"
"In post","2023","Commercial","Outside London","5435","5250","44220","40450"
"In post","2023","Commercial","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Unknown","10","10","[c]","[c]"
"In post","2023","Communications","London","2200","2155","49260","44600"
"In post","2023","Communications","Outside London","1950","1850","38550","36920"
"In post","2023","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","London","3610","3430","39130","34500"
"In post","2023","Counter Fraud","Outside London","13515","12485","32740","28130"
"In post","2023","Counter Fraud","Unknown","20","20","42400","35240"
"In post","2023","Debt","London","635","575","29680","26920"
"In post","2023","Debt","Outside London","7115","6395","24270","22520"
"In post","2023","Debt","Unknown","5","5","[c]","[c]"
"In post","2023","Digital, Data & Technology","London","5565","5465","50150","45950"
"In post","2023","Digital, Data & Technology","Outside London","20675","20065","41650","38470"
"In post","2023","Digital, Data & Technology","Overseas","75","75","39320","37420"
"In post","2023","Digital, Data & Technology","Unknown","35","35","47610","44720"
"In post","2023","Finance","London","3155","3070","50420","45560"
"In post","2023","Finance","Outside London","9655","9070","37940","34400"
"In post","2023","Finance","Overseas","45","45","50250","48980"
"In post","2023","Finance","Unknown","15","10","39920","37860"
"In post","2023","Grants Management","London","60","60","51180","48480"
"In post","2023","Grants Management","Outside London","2555","2360","26000","22150"
"In post","2023","Human Resources","London","3070","2975","48360","43650"
"In post","2023","Human Resources","Outside London","11070","10545","36610","33990"
"In post","2023","Human Resources","Overseas","240","240","56720","56420"
"In post","2023","Human Resources","Unknown","35","35","44620","41490"
"In post","2023","Internal Audit","London","195","190","54090","53070"
"In post","2023","Internal Audit","Outside London","515","490","45780","43890"
"In post","2023","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Internal Audit","Unknown","20","20","49540","44070"
"In post","2023","Legal","London","5285","4985","53880","54100"
"In post","2023","Legal","Outside London","8085","7515","43880","42510"
"In post","2023","Legal","Overseas","10","10","76790","72370"
"In post","2023","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","No function","London","63245","60620","43180","37640"
"In post","2023","No function","Outside London","264035","243110","30720","28120"
"In post","2023","No function","Overseas","2685","2675","53730","53970"
"In post","2023","No function","Unknown","725","675","33530","28120"
"In post","2023","Project Delivery","London","5475","5300","54450","54090"
