"Status","Year","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","Female","855","790","42630","40800"
"In post","2023","Asian","Attorney General's Departments","Male","370","365","43440","41300"
"In post","2023","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Female","405","395","43010","35650"
"In post","2023","Asian","Cabinet Office","Male","350","350","46220","40520"
"In post","2023","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Female","25","25","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Male","25","25","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Female","10","10","[c]","[c]"
"In post","2023","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Competition and Markets Authority","Female","65","65","46230","37080"
"In post","2023","Asian","Competition and Markets Authority","Male","65","65","53160","55130"
"In post","2023","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Female","530","515","41910","41060"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Male","420","415","42660","41060"
"In post","2023","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Female","90","85","47580","52760"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Male","65","65","44960","39310"
"In post","2023","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Education","Female","525","510","41230","37770"
"In post","2023","Asian","Department for Education","Male","345","345","43010","38140"
"In post","2023","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Female","310","300","35750","33830"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Male","205","200","38250","33830"
"In post","2023","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for International Trade","Female","160","155","45140","41550"
"In post","2023","Asian","Department for International Trade","Male","150","150","47280","41880"
"In post","2023","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Female","185","180","43380","37550"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Male","135","130","44510","39510"
"In post","2023","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Transport","Female","300","285","39370","35760"
"In post","2023","Asian","Department for Transport","Male","420","410","38920","34390"
"In post","2023","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department for Work and Pensions","Female","4650","3970","29130","28120"
"In post","2023","Asian","Department for Work and Pensions","Male","3245","3145","29830","28120"
"In post","2023","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Department of Health and Social Care","Female","775","735","44070","38120"
"In post","2023","Asian","Department of Health and Social Care","Male","390","380","46010","41190"
"In post","2023","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Food Standards Agency","Female","40","35","43880","38100"
"In post","2023","Asian","Food Standards Agency","Male","30","30","37480","37720"
"In post","2023","Asian","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Female","280","270","43810","38540"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Male","215","215","47160","40260"
"In post","2023","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Land Registry","Female","125","115","31140","28080"
"In post","2023","Asian","HM Land Registry","Male","95","90","33130","28080"
"In post","2023","Asian","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Revenue and Customs","Female","3025","2770","34200","32260"
"In post","2023","Asian","HM Revenue and Customs","Male","3460","3370","34620","34370"
"In post","2023","Asian","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","HM Treasury","Female","205","200","43880","40930"
"In post","2023","Asian","HM Treasury","Male","130","130","45880","40070"
"In post","2023","Asian","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Home Office","Female","2650","2390","33260","30140"
"In post","2023","Asian","Home Office","Male","1930","1855","33810","30140"
"In post","2023","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ministry of Defence","Female","665","630","36920","33790"
"In post","2023","Asian","Ministry of Defence","Male","865","850","38010","34300"
"In post","2023","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Ministry of Justice","Female","2880","2620","30360","25830"
"In post","2023","Asian","Ministry of Justice","Male","2175","2075","32160","29660"
"In post","2023","Asian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","National Crime Agency","Female","170","165","38960","38640"
"In post","2023","Asian","National Crime Agency","Male","120","115","40270","39630"
"In post","2023","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Female","85","80","42020","40640"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Male","40","35","42450","36170"
"In post","2023","Asian","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Gas and Electricity Markets","Female","105","105","41770","38000"
"In post","2023","Asian","Office of Gas and Electricity Markets","Male","90","90","43210","38500"
"In post","2023","Asian","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Female","25","25","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Male","10","10","[c]","[c]"
"In post","2023","Asian","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","Female","20","20","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","Male","15","15","[c]","[c]"
"In post","2023","Asian","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scottish Government","Female","195","185","37130","32510"
"In post","2023","Asian","Scottish Government","Male","140","140","40470","35020"
"In post","2023","Asian","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","The National Archives","Female","30","25","[c]","[c]"
"In post","2023","Asian","The National Archives","Male","15","15","[c]","[c]"
"In post","2023","Asian","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Export Finance","Female","45","40","46680","42000"
"In post","2023","Asian","UK Export Finance","Male","50","50","51130","42000"
"In post","2023","Asian","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Statistics Authority","Female","120","115","34510","31560"
"In post","2023","Asian","UK Statistics Authority","Male","110","100","34540","31060"
"In post","2023","Asian","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","Female","20","20","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","Male","20","20","[c]","[c]"
"In post","2023","Asian","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Welsh Government","Female","35","35","42190","39690"
"In post","2023","Asian","Welsh Government","Male","40","40","43250","39690"
"In post","2023","Asian","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Attorney General's Departments","Female","465","445","40760","33210"
"In post","2023","Black","Attorney General's Departments","Male","165","160","43220","37770"
"In post","2023","Black","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Cabinet Office","Female","225","220","41170","35650"
"In post","2023","Black","Cabinet Office","Male","130","130","48410","41870"
"In post","2023","Black","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","Female","10","10","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","Male","5","5","[c]","[c]"
"In post","2023","Black","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Charity Commission","Male","5","5","[c]","[c]"
"In post","2023","Black","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Competition and Markets Authority","Female","30","25","[c]","[c]"
"In post","2023","Black","Competition and Markets Authority","Male","15","15","[c]","[c]"
"In post","2023","Black","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy","Female","300","295","40830","37340"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy","Male","175","175","41460","39630"
"In post","2023","Black","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Digital, Culture, Media and Sport","Female","70","70","37510","35620"
"In post","2023","Black","Department for Digital, Culture, Media and Sport","Male","25","25","[c]","[c]"
"In post","2023","Black","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Education","Female","205","200","41680","37590"
"In post","2023","Black","Department for Education","Male","95","95","41260","39090"
"In post","2023","Black","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Environment, Food and Rural Affairs","Female","170","165","36410","33830"
"In post","2023","Black","Department for Environment, Food and Rural Affairs","Male","120","120","35980","33830"
"In post","2023","Black","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for International Trade","Female","110","105","42100","36810"
"In post","2023","Black","Department for International Trade","Male","60","60","44090","41750"
"In post","2023","Black","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Levelling Up, Housing and Communities","Female","110","110","41680","37540"
"In post","2023","Black","Department for Levelling Up, Housing and Communities","Male","75","70","41360","40000"
"In post","2023","Black","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Transport","Female","145","145","39400","36070"
"In post","2023","Black","Department for Transport","Male","130","125","38240","34390"
"In post","2023","Black","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department for Work and Pensions","Female","2530","2315","30700","31780"
"In post","2023","Black","Department for Work and Pensions","Male","1180","1150","31370","31280"
"In post","2023","Black","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Department of Health and Social Care","Female","370","355","40570","35430"
"In post","2023","Black","Department of Health and Social Care","Male","140","135","49060","40880"
"In post","2023","Black","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2023","Black","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2023","Black","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Food Standards Agency","Female","20","20","[c]","[c]"
"In post","2023","Black","Food Standards Agency","Male","25","25","[c]","[c]"
"In post","2023","Black","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Foreign, Commonwealth and Development Office","Female","175","175","40650","36620"
"In post","2023","Black","Foreign, Commonwealth and Development Office","Male","80","80","42130","39390"
"In post","2023","Black","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","HM Land Registry","Female","45","40","32330","28080"
