"Status","Year","Age","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Levelling Up, Housing and Communities","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Defence","Male","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Female","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","UK Statistics Authority","Male","5","5","[c]","[c]"
"In post","2023","16-19","Commercial","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Female","20","20","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","Male","25","25","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions","Male","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Male","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs","Female","10","5","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Ministry of Defence","Female","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Ministry of Defence","Male","10","10","[c]","[c]"
"In post","2023","16-19","Finance","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Male","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
