"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","EO","Heterosexual / straight","60","60","28300","28100"
"In post","2023","Declared disabled","Analysis","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","EO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","EO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G6","Heterosexual / straight","45","45","72400","70850"
"In post","2023","Declared disabled","Analysis","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G6","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G7","Heterosexual / straight","170","160","55300","55110"
"In post","2023","Declared disabled","Analysis","G7","LGBO","40","40","53440","51770"
"In post","2023","Declared disabled","Analysis","G7","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","G7","Unknown","30","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","HEO","Heterosexual / straight","175","165","33980","34170"
"In post","2023","Declared disabled","Analysis","HEO","LGBO","60","60","33440","32170"
"In post","2023","Declared disabled","Analysis","HEO","Undeclared","35","30","34400","34170"
"In post","2023","Declared disabled","Analysis","HEO","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SEO","Heterosexual / straight","205","195","41230","39890"
"In post","2023","Declared disabled","Analysis","SEO","LGBO","45","45","41210","40370"
"In post","2023","Declared disabled","Analysis","SEO","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","SEO","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Heterosexual / straight","35","30","23950","23140"
"In post","2023","Declared disabled","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","AO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Heterosexual / straight","50","45","27500","27140"
"In post","2023","Declared disabled","Commercial","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","EO","Unknown","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6","Heterosexual / straight","45","40","76750","74100"
"In post","2023","Declared disabled","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G6","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G7","Heterosexual / straight","115","110","58030","56000"
"In post","2023","Declared disabled","Commercial","G7","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","G7","Unknown","35","35","61870","57750"
"In post","2023","Declared disabled","Commercial","HEO","Heterosexual / straight","110","105","33730","33990"
"In post","2023","Declared disabled","Commercial","HEO","LGBO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","HEO","Unknown","30","30","31330","30130"
"In post","2023","Declared disabled","Commercial","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO","Heterosexual / straight","150","145","41920","41800"
"In post","2023","Declared disabled","Commercial","SEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","SEO","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Heterosexual / straight","45","45","28930","28300"
"In post","2023","Declared disabled","Communications","EO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Heterosexual / straight","45","40","56490","55790"
"In post","2023","Declared disabled","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","G7","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Heterosexual / straight","70","70","35420","34580"
"In post","2023","Declared disabled","Communications","HEO","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO","Heterosexual / straight","65","60","42940","42790"
"In post","2023","Declared disabled","Communications","SEO","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO","Undeclared","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
