"Status","Year","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","AA/AO","Female","9975","8385","23040","22150"
"In post","2023","Declared disabled","AA/AO","Male","6715","6260","24270","22500"
"In post","2023","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","EO","Female","10850","9565","28700","28120"
"In post","2023","Declared disabled","EO","Male","6170","5825","29270","28120"
"In post","2023","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","G6/G7","Female","3620","3450","59470","57360"
"In post","2023","Declared disabled","G6/G7","Male","2975","2895","60390","58370"
"In post","2023","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SCS level","Female","290","280","89100","81610"
"In post","2023","Declared disabled","SCS level","Male","275","270","94680","84500"
"In post","2023","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","SEO/HEO","Female","8935","8450","37610","36630"
"In post","2023","Declared disabled","SEO/HEO","Male","6690","6475","38560","37710"
"In post","2023","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Female","3240","3005","31230","29050"
"In post","2023","Declared disabled","Unknown","Male","1055","1010","33250","29050"
"In post","2023","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","AA/AO","Female","46440","39800","23490","22500"
"In post","2023","Declared non-disabled","AA/AO","Male","34545","33155","25370","22520"
"In post","2023","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","EO","Female","45860","40960","28670","28120"
"In post","2023","Declared non-disabled","EO","Male","32885","31670","29230","28120"
"In post","2023","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","G6/G7","Female","24735","23465","60340","57970"
"In post","2023","Declared non-disabled","G6/G7","Male","25480","24950","61190","59290"
"In post","2023","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
