"Status","Year","Age","Ethnicity","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AO","Heterosexual / straight","65","60","22660","22520"
"In post","2023","16-19","Asian","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Asian","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Black","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AO","Undeclared","[c]","[c]","[c]","[c]"
