"Status","Year","Age","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Inner London - West","Female","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Midlands","Female","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Yorkshire","Female","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Inner London - East","Female","[c]","[c]","[c]","[c]"
