"Status","Year","Organisation","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","AA","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","AA","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Female","30","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","EO","Male","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","HEO","Female","20","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","HEO","Male","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO","Female","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G6","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","G6","Male","[c]","[c]","[c]","[c]"
