"Status","Year","Age","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Operational Delivery","Female","40","40","21230","20980"
"In post","2023","16-19","Crown Prosecution Service","Operational Delivery","Male","15","15","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Science and Engineering","Male","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Finance","Female","5","5","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Finance","Male","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Other","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Other","Male","5","5","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Project Delivery","Female","[c]","[c]","[c]","[c]"
