"Status","Year","Function_of_post","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Female","Undeclared","[c]","[c]","[c]","[c]"
