"Status","Year","Disability","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","325","290","34080","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Female","LGBO","30","30","28240","28120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Female","Undeclared","40","35","30740","30930"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","135","130","34880","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","490","455","33150","30310"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","60","60","31340","30560"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","75","65","33720","30320"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","355","345","35570","32400"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","35","35","35490","32700"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","50","45","36070","35030"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","30","30","33870","30200"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Female","Heterosexual / straight","280","245","30720","28120"
"In post","2023","Declared disabled","Cheshire","Female","LGBO","35","30","33280","28480"
"In post","2023","Declared disabled","Cheshire","Female","Undeclared","30","30","33020","30530"
"In post","2023","Declared disabled","Cheshire","Female","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Male","Heterosexual / straight","145","135","33100","28880"
"In post","2023","Declared disabled","Cheshire","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Male","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Female","Heterosexual / straight","135","115","28650","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Male","Heterosexual / straight","65","60","28440","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Male","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Female","Heterosexual / straight","185","160","29030","25920"
"In post","2023","Declared disabled","Cumbria","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Female","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Male","Heterosexual / straight","100","95","30880","28000"
"In post","2023","Declared disabled","Cumbria","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
