"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SEO","15","10","42840","42060"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","SEO","5","5","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","EO","10","5","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","G7","25","25","55170","54680"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","HEO","35","35","33600","33610"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","SEO","35","30","40860","40840"
"In post","2023","Analysis","Devon","EO","10","10","26270","25920"
"In post","2023","Analysis","Devon","G7","5","5","[c]","[c]"
"In post","2023","Analysis","Devon","HEO","10","10","32850","33270"
"In post","2023","Analysis","Devon","SEO","10","5","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","AO","5","5","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","EO","40","40","25940","25970"
