"Status","Year","Age","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","East of England","Female","10","10","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","Female","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","South West (England)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","Wales","Male","10","10","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Scotland","Male","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","South East (England)","Male","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","South West (England)","Female","20","20","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","South West (England)","Male","65","65","19250","18780"
"In post","2023","16-19","Defence Science and Technology Laboratory","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South West (England)","Female","10","10","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","South West (England)","Male","20","20","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
